投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
4,ストレート,151km/h,ファウル,板東 湧梧,中川 圭太,1-1,●
5,フォーク,140km/h,ファウル,板東 湧梧,中川 圭太,1-1,●
6,フォーク,141km/h,三ゴロ  [泳ぎ、引っかけ],板東 湧梧,中川 圭太,1-1,●
1,フォーク,139km/h,一ゴロ  [引っかけ、ライン際],板東 湧梧,渡部 遼人,1-1,●●
1,カットボール,144km/h,ファウル  [フルスイング],板東 湧梧,吉田 正尚,1-2,●●
2,ストレート,150km/h,ボール,板東 湧梧,吉田 正尚,1-2,●●
3,カットボール,145km/h,ボール,板東 湧梧,吉田 正尚,1-2,●●
4,ストレート,149km/h,右本  [本塁打確信、外野手が一歩も打球追わず、スタンド上段],板東 湧梧,吉田 正尚,1-2,●●
1,カーブ,111km/h,ボール,板東 湧梧,頓宮 裕真,1-2,●●
2,ストレート,145km/h,ファウル,板東 湧梧,頓宮 裕真,1-2,●●
3,フォーク,140km/h,ボール  [ワンバウンド],板東 湧梧,頓宮 裕真,1-2,●●
4,カーブ,110km/h,見逃し,板東 湧梧,頓宮 裕真,1-2,●●
5,ストレート,150km/h,ボール,板東 湧梧,頓宮 裕真,1-2,●●
6,ストレート,150km/h,ファウル,板東 湧梧,頓宮 裕真,1-2,●●
7,カットボール,142km/h,四球,板東 湧梧,頓宮 裕真,1-2,●●
1,カットボール,139km/h,見逃し,板東 湧梧,宗 佑磨,1-2,●●●
2,ストレート,148km/h,ボール,板東 湧梧,宗 佑磨,1-2,●●●
3,ストレート,150km/h,中飛,板東 湧梧,宗 佑磨,1-2,●●●
1,フォーク,143km/h,ボール,山本 由伸,柳田 悠岐,1-2,●
2,カーブ,120km/h,見逃し,山本 由伸,柳田 悠岐,1-2,●
3,ストレート,153km/h,ボール,山本 由伸,柳田 悠岐,1-2,●
4,フォーク,145km/h,空振り,山本 由伸,柳田 悠岐,1-2,●
5,ストレート,156km/h,ファウル,山本 由伸,柳田 悠岐,1-2,●
6,カーブ,128km/h,一直  [泳ぎ、ジャンピングキャッチ],山本 由伸,柳田 悠岐,1-2,●
1,ストレート,156km/h,ボール,山本 由伸,デスパイネ,1-2,●
2,ストレート,155km/h,遊失  [送球がプレイングフィールドの外に出る],山本 由伸,デスパイネ,1-2,●
1,カーブ,123km/h,ファウル,山本 由伸,柳町 達,1-2,●●
2,カットボール,152km/h,ボール,山本 由伸,柳町 達,1-2,●●
3,ストレート,156km/h,ファウル,山本 由伸,柳町 達,1-2,●●
4,ストレート,151km/h,ボール  [高めのつり球を要求],山本 由伸,柳町 達,1-2,●●
5,フォーク,144km/h,ファウル  [自打球],山本 由伸,柳町 達,1-2,●●
6,フォーク,149km/h,ファウル,山本 由伸,柳町 達,1-2,●●
7,フォーク,144km/h,ボール  [ワンバウンド],山本 由伸,柳町 達,1-2,●●
8,ストレート,158km/h,ファウル,山本 由伸,柳町 達,1-2,●●
9,カーブ,126km/h,ファウル,山本 由伸,柳町 達,1-2,●●
10,フォーク,145km/h,ファウル,山本 由伸,柳町 達,1-2,●●
11,カットボール,153km/h,ファウル,山本 由伸,柳町 達,1-2,●●
12,フォーク,143km/h,空三振,山本 由伸,柳町 達,1-2,●●
1,フォーク,149km/h,ボール  [ワンバウンド],山本 由伸,グラシアル,1-2,●●●
2,カーブ,128km/h,ボール,山本 由伸,グラシアル,1-2,●●●
3,カーブ,124km/h,見逃し,山本 由伸,グラシアル,1-2,●●●
4,ストレート,152km/h,見逃し,山本 由伸,グラシアル,1-2,●●●
5,ストレート,152km/h,ボール,山本 由伸,グラシアル,1-2,●●●
6,フォーク,149km/h,空三振,山本 由伸,グラシアル,1-2,●●●
1,ストレート,148km/h,見逃し,板東 湧梧,安達 了一,1-2,●
2,ストレート,148km/h,投ゴロ  [セーフティバント],板東 湧梧,安達 了一,1-2,●
1,ストレート,149km/h,ボール,板東 湧梧,杉本 裕太郎,1-2,●
2,カットボール,139km/h,中２,板東 湧梧,杉本 裕太郎,1-2,●
1,カットボール,142km/h,見逃し,板東 湧梧,紅林 弘太郎,1-2,●
2,ストレート,147km/h,ボール  [高めのつり球を要求],板東 湧梧,紅林 弘太郎,1-2,●
3,カーブ,109km/h,ボール,板東 湧梧,紅林 弘太郎,1-2,●
4,カーブ,111km/h,ファウル,板東 湧梧,紅林 弘太郎,1-2,●
5,フォーク,139km/h,ファウル,板東 湧梧,紅林 弘太郎,1-2,●
6,ストレート,148km/h,左安,板東 湧梧,紅林 弘太郎,1-2,●
1,ストレート,147km/h,ボール,板東 湧梧,若月 健矢,1-2,●●
2,フォーク,135km/h,ボール  [ワンバウンド],板東 湧梧,若月 健矢,1-2,●●
3,フォーク,-,捕ゴロ  [挟まれる、リプレー検証後判定変わらず],板東 湧梧,若月 健矢,1-2,●●
1,ストレート,145km/h,見逃し,板東 湧梧,渡部 遼人,1-4,●●
2,ストレート,147km/h,ボール,板東 湧梧,渡部 遼人,1-4,●●
3,フォーク,137km/h,ボール  [ワンバウンド],板東 湧梧,渡部 遼人,1-4,●●
4,ストレート,150km/h,見逃し,板東 湧梧,渡部 遼人,1-4,●●
5,ストレート,149km/h,右安,板東 湧梧,渡部 遼人,1-4,●●
1,ストレート,147km/h,ボール,板東 湧梧,吉田 正尚,1-4,●●
2,フォーク,137km/h,見逃し,板東 湧梧,吉田 正尚,1-4,●●
3,ストレート,148km/h,ファウル,板東 湧梧,吉田 正尚,1-4,●●
4,ストレート,147km/h,ボール  [ランエンドヒット、送球できず],板東 湧梧,吉田 正尚,1-4,●●
1,ストレート,147km/h,ボール,板東 湧梧,吉田 正尚,1-4,●●●
2,フォーク,137km/h,見逃し,板東 湧梧,吉田 正尚,1-4,●●●
3,ストレート,148km/h,ファウル,板東 湧梧,吉田 正尚,1-4,●●●
4,ストレート,147km/h,ボール  [ランエンドヒット、送球できず],板東 湧梧,吉田 正尚,1-4,●●●
5,フォーク,140km/h,空三振,板東 湧梧,吉田 正尚,1-4,●●●
1,カットボール,145km/h,見逃し,山本 由伸,今宮 健太,1-4,●
2,スライダー,141km/h,ボール,山本 由伸,今宮 健太,1-4,●
3,シュート,152km/h,ファウル,山本 由伸,今宮 健太,1-4,●
4,ストレート,155km/h,空三振,山本 由伸,今宮 健太,1-4,●
1,ストレート,155km/h,見逃し,山本 由伸,甲斐 拓也,1-4,●●
2,カーブ,118km/h,遊ゴロ  [スライディングキャッチ、逆シングル、送球がバウンド、好プレイ],山本 由伸,甲斐 拓也,1-4,●●
1,カットボール,149km/h,空振り,山本 由伸,三森 大貴,1-4,●●●
2,フォーク,143km/h,見逃し,山本 由伸,三森 大貴,1-4,●●●
3,カーブ,124km/h,ボール,山本 由伸,三森 大貴,1-4,●●●
4,フォーク,144km/h,空三振,山本 由伸,三森 大貴,1-4,●●●
1,カーブ,105km/h,ボール,板東 湧梧,頓宮 裕真,1-4,●
2,カーブ,108km/h,見逃し,板東 湧梧,頓宮 裕真,1-4,●
3,フォーク,135km/h,ファウル,板東 湧梧,頓宮 裕真,1-4,●
4,ストレート,148km/h,ファウル,板東 湧梧,頓宮 裕真,1-4,●
5,カーブ,110km/h,ファウル  [自打球],板東 湧梧,頓宮 裕真,1-4,●
6,ストレート,148km/h,ボール  [高めのつり球を要求],板東 湧梧,頓宮 裕真,1-4,●
7,カーブ,110km/h,三ゴロ  [泳ぎ],板東 湧梧,頓宮 裕真,1-4,●
1,カーブ,111km/h,ボール,板東 湧梧,宗 佑磨,1-4,●
2,カーブ,109km/h,左２,板東 湧梧,宗 佑磨,1-4,●
1,ストレート,146km/h,ボール,板東 湧梧,大城 滉二,1-5,●
2,カーブ,110km/h,ボール,板東 湧梧,大城 滉二,1-5,●
3,カットボール,139km/h,ボール,板東 湧梧,大城 滉二,1-5,●
4,ストレート,147km/h,見逃し,板東 湧梧,大城 滉二,1-5,●
5,カーブ,110km/h,左２,板東 湧梧,大城 滉二,1-5,●
1,ストレート,148km/h,右安,板東 湧梧,杉本 裕太郎,1-5,●
1,ストレート,149km/h,ファウル,泉 圭輔,紅林 弘太郎,1-5,●●●
2,ストレート,151km/h,ボール,泉 圭輔,紅林 弘太郎,1-5,●●●
3,ストレート,151km/h,ボール  [ワンバウンド],泉 圭輔,紅林 弘太郎,1-5,●●●
4,カットボール,135km/h,空振り,泉 圭輔,紅林 弘太郎,1-5,●●●
5,ツーシーム,140km/h,ファウル,泉 圭輔,紅林 弘太郎,1-5,●●●
6,ツーシーム,144km/h,ボール  [ワンバウンド],泉 圭輔,紅林 弘太郎,1-5,●●●
7,ツーシーム,140km/h,二併打  [痛烈な当たり、野手の正面をつく],泉 圭輔,紅林 弘太郎,1-5,●●●
1,フォーク,144km/h,ボール,山本 由伸,周東 佑京,1-5,●
2,フォーク,142km/h,ファウル,山本 由伸,周東 佑京,1-5,●
3,カーブ,119km/h,ボール,山本 由伸,周東 佑京,1-5,●
4,フォーク,145km/h,ボール,山本 由伸,周東 佑京,1-5,●
5,ストレート,-,二ゴロ,山本 由伸,周東 佑京,1-5,●
1,フォーク,142km/h,見逃し,山本 由伸,牧原 大成,1-5,●●
2,ストレート,150km/h,ファウル,山本 由伸,牧原 大成,1-5,●●
3,ストレート,151km/h,ボール,山本 由伸,牧原 大成,1-5,●●
4,ストレート,154km/h,ボール,山本 由伸,牧原 大成,1-5,●●
5,フォーク,146km/h,二ゴロ  [逆シングル、ジャンピングスロー、好プレイ],山本 由伸,牧原 大成,1-5,●●
1,カーブ,125km/h,見逃し,山本 由伸,柳田 悠岐,1-5,●●
2,ストレート,156km/h,ボール,山本 由伸,柳田 悠岐,1-5,●●
3,カーブ,122km/h,ボール,山本 由伸,柳田 悠岐,1-5,●●
4,フォーク,-,二安  [内野一塁寄り、逆シングル、ジャンピングスロー、シフトが裏目に出る],山本 由伸,柳田 悠岐,1-5,●●
1,シュート,148km/h,見逃し,山本 由伸,デスパイネ,1-5,●●●
2,ストレート,155km/h,ファウル  [止めたバットに当たる],山本 由伸,デスパイネ,1-5,●●●
3,カーブ,124km/h,三ゴロ  [ランニングスロー],山本 由伸,デスパイネ,1-5,●●●
1,カットボール,141km/h,ボール,森 唯斗,若月 健矢,1-5,●
2,ナックルカーブ,121km/h,ファウル,森 唯斗,若月 健矢,1-5,●
3,カットボール,141km/h,ボール,森 唯斗,若月 健矢,1-5,●
4,カットボール,137km/h,二飛  [高々と舞い上がる],森 唯斗,若月 健矢,1-5,●
1,ツーシーム,140km/h,ボール,森 唯斗,中川 圭太,1-5,●●
2,カットボール,143km/h,見逃し,森 唯斗,中川 圭太,1-5,●●
3,フォーク,134km/h,ファウル,森 唯斗,中川 圭太,1-5,●●
4,フォーク,132km/h,空三振  [ワンバウンド、振り逃げを狙うもアウト],森 唯斗,中川 圭太,1-5,●●
1,ツーシーム,142km/h,見逃し,森 唯斗,渡部 遼人,1-5,●●●
2,カットボール,145km/h,見逃し,森 唯斗,渡部 遼人,1-5,●●●
3,フォーク,134km/h,空三振  [ワンバウンド、振り逃げを狙うもアウト],森 唯斗,渡部 遼人,1-5,●●●
1,カットボール,146km/h,空振り  [ファウルチップ],山本 由伸,柳町 達,1-5,●
2,カットボール,151km/h,ファウル,山本 由伸,柳町 達,1-5,●
3,カットボール,147km/h,ファウル,山本 由伸,柳町 達,1-5,●
4,カットボール,147km/h,ファウル,山本 由伸,柳町 達,1-5,●
5,カーブ,124km/h,ファウル,山本 由伸,柳町 達,1-5,●
6,シュート,151km/h,ファウル,山本 由伸,柳町 達,1-5,●
7,フォーク,142km/h,ボール,山本 由伸,柳町 達,1-5,●
8,フォーク,143km/h,空三振,山本 由伸,柳町 達,1-5,●
1,フォーク,149km/h,見逃し,山本 由伸,グラシアル,1-5,●●
2,ストレート,149km/h,中飛,山本 由伸,グラシアル,1-5,●●
1,ストレート,154km/h,ボール,山本 由伸,今宮 健太,2-5,●●
2,カットボール,149km/h,中本  [バックスクリーン左],山本 由伸,今宮 健太,2-5,●●
1,ストレート,155km/h,ボール,山本 由伸,ガルビス,2-5,●●●
2,カーブ,121km/h,見逃し,山本 由伸,ガルビス,2-5,●●●
3,フォーク,147km/h,空振り,山本 由伸,ガルビス,2-5,●●●
4,フォーク,143km/h,空三振  [ワンバウンド],山本 由伸,ガルビス,2-5,●●●
1,ストレート,149km/h,見逃し,津森 宥紀,吉田 正尚,2-5,●
2,フォーク,134km/h,中飛,津森 宥紀,吉田 正尚,2-5,●
1,スライダー,134km/h,見逃し,津森 宥紀,頓宮 裕真,2-5,●●
2,ストレート,-,三飛  [詰り],津森 宥紀,頓宮 裕真,2-5,●●
1,ストレート,151km/h,ボール,津森 宥紀,宗 佑磨,2-5,●●
2,ストレート,150km/h,空振り,津森 宥紀,宗 佑磨,2-5,●●
3,ストレート,150km/h,ボール,津森 宥紀,宗 佑磨,2-5,●●
4,スライダー,132km/h,見逃し,津森 宥紀,宗 佑磨,2-5,●●
5,ストレート,152km/h,ボール,津森 宥紀,宗 佑磨,2-5,●●
6,フォーク,135km/h,左安,津森 宥紀,宗 佑磨,2-5,●●
1,スライダー,132km/h,ファウル,津森 宥紀,大城 滉二,2-5,●●●
2,ストレート,146km/h,ボール,津森 宥紀,大城 滉二,2-5,●●●
3,ストレート,149km/h,ファウル,津森 宥紀,大城 滉二,2-5,●●●
4,スライダー,134km/h,ファウル,津森 宥紀,大城 滉二,2-5,●●●
5,ストレート,149km/h,見三振,津森 宥紀,大城 滉二,2-5,●●●
1,スプリット,140km/h,ボール  [ワンバウンド],阿部 翔太,三森 大貴,2-5,●
2,ストレート,147km/h,空振り,阿部 翔太,三森 大貴,2-5,●
3,カットボール,136km/h,ファウル  [止めたバットに当たる],阿部 翔太,三森 大貴,2-5,●
4,ストレート,145km/h,左飛,阿部 翔太,三森 大貴,2-5,●
1,カットボール,138km/h,空振り,阿部 翔太,周東 佑京,2-5,●●
2,ストレート,148km/h,ボール  [ワンバウンド],阿部 翔太,周東 佑京,2-5,●●
3,フォーク,131km/h,空振り,阿部 翔太,周東 佑京,2-5,●●
4,スプリット,136km/h,ボール  [ワンバウンド],阿部 翔太,周東 佑京,2-5,●●
5,ストレート,146km/h,ボール  [ワンバウンド],阿部 翔太,周東 佑京,2-5,●●
6,ストレート,145km/h,ファウル,阿部 翔太,周東 佑京,2-5,●●
7,カットボール,-,ファウル,阿部 翔太,周東 佑京,2-5,●●
8,フォーク,133km/h,ファウル,阿部 翔太,周東 佑京,2-5,●●
9,ストレート,148km/h,ファウル,阿部 翔太,周東 佑京,2-5,●●
10,ストレート,145km/h,左邪飛,阿部 翔太,周東 佑京,2-5,●●
1,カットボール,133km/h,見逃し,阿部 翔太,牧原 大成,2-5,●●●
2,ストレート,-,見逃し,阿部 翔太,牧原 大成,2-5,●●●
3,ストレート,147km/h,ボール  [高めのつり球を要求],阿部 翔太,牧原 大成,2-5,●●●
4,スプリット,138km/h,空三振  [ワンバウンド、振り逃げを狙うもアウト],阿部 翔太,牧原 大成,2-5,●●●
1,ストレート,153km/h,ボール,甲斐野 央,杉本 裕太郎,2-5,●
2,ストレート,154km/h,ファウル,甲斐野 央,杉本 裕太郎,2-5,●
3,スライダー,136km/h,ボール  [ワンバウンド],甲斐野 央,杉本 裕太郎,2-5,●
4,スライダー,138km/h,空振り,甲斐野 央,杉本 裕太郎,2-5,●
5,フォーク,142km/h,ボール,甲斐野 央,杉本 裕太郎,2-5,●
6,スライダー,139km/h,中飛,甲斐野 央,杉本 裕太郎,2-5,●
1,スライダー,136km/h,ボール,甲斐野 央,紅林 弘太郎,2-5,●●
2,ストレート,156km/h,ボール,甲斐野 央,紅林 弘太郎,2-5,●●
3,スライダー,139km/h,見逃し,甲斐野 央,紅林 弘太郎,2-5,●●
4,フォーク,140km/h,ボール  [ワンバウンド],甲斐野 央,紅林 弘太郎,2-5,●●
5,ストレート,155km/h,ファウル,甲斐野 央,紅林 弘太郎,2-5,●●
6,スライダー,-,遊ゴロ  [泳ぎ],甲斐野 央,紅林 弘太郎,2-5,●●
1,ストレート,155km/h,ボール,甲斐野 央,若月 健矢,2-5,●●●
2,フォーク,140km/h,空振り  [ワンバウンド],甲斐野 央,若月 健矢,2-5,●●●
3,ストレート,-,二ゴロ  [逆シングル],甲斐野 央,若月 健矢,2-5,●●●
1,ツーシーム,152km/h,ファウル,ワゲスパック,柳田 悠岐,2-5,●
2,ツーシーム,151km/h,ボール  [高めのつり球を要求],ワゲスパック,柳田 悠岐,2-5,●
3,スライダー,140km/h,二ゴロ  [痛烈な当たり],ワゲスパック,柳田 悠岐,2-5,●
1,ツーシーム,150km/h,見逃し,ワゲスパック,デスパイネ,2-5,●●
2,ツーシーム,150km/h,ボール,ワゲスパック,デスパイネ,2-5,●●
3,スライダー,142km/h,ボール,ワゲスパック,デスパイネ,2-5,●●
4,ストレート,155km/h,空振り,ワゲスパック,デスパイネ,2-5,●●
5,スライダー,144km/h,遊ゴロ,ワゲスパック,デスパイネ,2-5,●●
1,スライダー,141km/h,見逃し,ワゲスパック,柳町 達,2-5,●●●
2,スライダー,144km/h,ボール,ワゲスパック,柳町 達,2-5,●●●
3,チェンジアップ,142km/h,ファウル,ワゲスパック,柳町 達,2-5,●●●
4,ストレート,157km/h,ボール,ワゲスパック,柳町 達,2-5,●●●
5,ストレート,148km/h,空三振,ワゲスパック,柳町 達,2-5,●●●
1,ツーシーム,143km/h,空振り,大貫 晋一,塩見 泰隆,0-0,●
2,ツーシーム,144km/h,ファウル,大貫 晋一,塩見 泰隆,0-0,●
3,スプリット,139km/h,空三振,大貫 晋一,塩見 泰隆,0-0,●
1,ストレート,146km/h,ボール,大貫 晋一,山崎 晃大朗,0-0,●●
2,ストレート,145km/h,見逃し,大貫 晋一,山崎 晃大朗,0-0,●●
3,スライダー,129km/h,空振り,大貫 晋一,山崎 晃大朗,0-0,●●
4,ストレート,148km/h,見三振,大貫 晋一,山崎 晃大朗,0-0,●●
1,スライダー,129km/h,中２  [バットの先、ポテンヒット],大貫 晋一,山田 哲人,0-0,●●
1,ツーシーム,144km/h,ボール,大貫 晋一,村上 宗隆,0-0,●●●
2,ストレート,144km/h,見逃し,大貫 晋一,村上 宗隆,0-0,●●●
3,ストレート,144km/h,見逃し,大貫 晋一,村上 宗隆,0-0,●●●
4,ストレート,146km/h,ボール,大貫 晋一,村上 宗隆,0-0,●●●
5,スライダー,132km/h,見三振  [全く反応できず],大貫 晋一,村上 宗隆,0-0,●●●
1,スライダー,128km/h,ボール,小川 泰弘,桑原 将志,0-0,●
2,ストレート,143km/h,見逃し,小川 泰弘,桑原 将志,0-0,●
3,スライダー,131km/h,ボール,小川 泰弘,桑原 将志,0-0,●
4,スライダー,131km/h,左飛,小川 泰弘,桑原 将志,0-0,●
1,ストレート,142km/h,見逃し,小川 泰弘,関根 大気,0-0,●●
2,ナックルカーブ,115km/h,空振り,小川 泰弘,関根 大気,0-0,●●
3,フォーク,128km/h,ファウル,小川 泰弘,関根 大気,0-0,●●
4,フォーク,129km/h,空三振,小川 泰弘,関根 大気,0-0,●●
1,ストレート,145km/h,遊ゴロ,小川 泰弘,佐野 恵太,0-0,●●●
1,カーブ,116km/h,ボール,大貫 晋一,オスナ,0-0,●
2,スプリット,137km/h,空振り  [ハーフスイング],大貫 晋一,オスナ,0-0,●
3,ストレート,144km/h,見逃し,大貫 晋一,オスナ,0-0,●
4,スプリット,139km/h,遊ゴロ  [逆シングル、好プレイ、リプレー検証後判定変わらず],大貫 晋一,オスナ,0-0,●
1,ストレート,143km/h,ボール,大貫 晋一,青木 宣親,0-0,●
2,ストレート,144km/h,ボール,大貫 晋一,青木 宣親,0-0,●
3,スプリット,135km/h,ボール,大貫 晋一,青木 宣親,0-0,●
4,カットボール,141km/h,見逃し,大貫 晋一,青木 宣親,0-0,●
5,ストレート,144km/h,ファウル,大貫 晋一,青木 宣親,0-0,●
6,スプリット,138km/h,ファウル,大貫 晋一,青木 宣親,0-0,●
7,ストレート,144km/h,ファウル,大貫 晋一,青木 宣親,0-0,●
8,スライダー,129km/h,四球,大貫 晋一,青木 宣親,0-0,●
1,ストレート,143km/h,見逃し,大貫 晋一,中村 悠平,0-0,●●
2,ストレート,144km/h,ボール,大貫 晋一,中村 悠平,0-0,●●
3,カットボール,137km/h,ファウル,大貫 晋一,中村 悠平,0-0,●●
4,スプリット,136km/h,見三振,大貫 晋一,中村 悠平,0-0,●●
1,スプリット,133km/h,見逃し,大貫 晋一,長岡 秀樹,0-0,●●●
2,ストレート,143km/h,ボール,大貫 晋一,長岡 秀樹,0-0,●●●
3,ストレート,142km/h,遊ゴロ  [逆シングル],大貫 晋一,長岡 秀樹,0-0,●●●
1,ストレート,143km/h,ボール,小川 泰弘,牧 秀悟,0-0,
2,ストレート,143km/h,空振り  [ファウルチップ],小川 泰弘,牧 秀悟,0-0,
3,ストレート,143km/h,空振り,小川 泰弘,牧 秀悟,0-0,
4,ストレート,-,右安,小川 泰弘,牧 秀悟,0-0,
1,ストレート,143km/h,見逃し,小川 泰弘,宮﨑 敏郎,0-0,●●
