投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
1,ストレート,156km/h,見逃し,山本 由伸,三森 大貴,0-0,
2,ストレート,155km/h,ボール,山本 由伸,三森 大貴,0-0,
3,カーブ,126km/h,見逃し,山本 由伸,三森 大貴,0-0,
4,カットボール,151km/h,二安  [詰り、ポテンヒット],山本 由伸,三森 大貴,0-0,
1,シュート,151km/h,ボール  [セーフティバント、バント構え],山本 由伸,周東 佑京,0-0,
2,ストレート,156km/h,犠打失  [交錯、交錯],山本 由伸,周東 佑京,0-0,
1,ストレート,-,遊安  [送球がバウンド],山本 由伸,牧原 大成,1-0,
1,カーブ,125km/h,空振り,山本 由伸,柳田 悠岐,1-0,●
2,ストレート,156km/h,ボール  [高めのつり球を要求],山本 由伸,柳田 悠岐,1-0,●
3,ストレート,155km/h,ボール,山本 由伸,柳田 悠岐,1-0,●
4,フォーク,147km/h,空振り,山本 由伸,柳田 悠岐,1-0,●
5,フォーク,146km/h,空三振,山本 由伸,柳田 悠岐,1-0,●
1,シュート,154km/h,ボール,山本 由伸,デスパイネ,1-0,●
2,フォーク,148km/h,ボール,山本 由伸,デスパイネ,1-0,●
3,カーブ,121km/h,ボール,山本 由伸,デスパイネ,1-0,●
4,ストレート,157km/h,四球,山本 由伸,デスパイネ,1-0,●
1,ストレート,157km/h,見逃し,山本 由伸,柳町 達,1-0,●●●
2,フォーク,149km/h,ボール  [ワンバウンド],山本 由伸,柳町 達,1-0,●●●
3,ストレート,158km/h,一併打,山本 由伸,柳町 達,1-0,●●●
1,ストレート,152km/h,ボール,板東 湧梧,中川 圭太,1-0,●
2,ストレート,152km/h,見逃し,板東 湧梧,中川 圭太,1-0,●
3,ストレート,147km/h,ファウル,板東 湧梧,中川 圭太,1-0,●
4,ストレート,153km/h,右飛,板東 湧梧,中川 圭太,1-0,●
1,カットボール,144km/h,ファウル  [止めたバットに当たる],板東 湧梧,渡部 遼人,1-0,●●
2,ストレート,150km/h,三飛  [高々と舞い上がる],板東 湧梧,渡部 遼人,1-0,●●
1,ストレート,153km/h,見逃し,板東 湧梧,吉田 正尚,1-0,●●
2,ストレート,151km/h,ボール,板東 湧梧,吉田 正尚,1-0,●●
3,ストレート,149km/h,ファウル,板東 湧梧,吉田 正尚,1-0,●●
4,カットボール,145km/h,ファウル,板東 湧梧,吉田 正尚,1-0,●●
5,フォーク,138km/h,右安  [泳ぎ],板東 湧梧,吉田 正尚,1-0,●●
1,ストレート,152km/h,ファウル,板東 湧梧,頓宮 裕真,1-0,●●●
2,ストレート,150km/h,空振り,板東 湧梧,頓宮 裕真,1-0,●●●
3,フォーク,141km/h,空三振  [ワンバウンド],板東 湧梧,頓宮 裕真,1-0,●●●
1,カットボール,150km/h,ファウル,山本 由伸,グラシアル,1-0,●
2,ストレート,152km/h,中飛,山本 由伸,グラシアル,1-0,●
1,ストレート,156km/h,ボール,山本 由伸,今宮 健太,1-0,●●
2,ストレート,155km/h,見逃し,山本 由伸,今宮 健太,1-0,●●
3,フォーク,145km/h,遊ゴロ,山本 由伸,今宮 健太,1-0,●●
1,カットボール,151km/h,ボール,山本 由伸,甲斐 拓也,1-0,●●●
2,フォーク,143km/h,ボール,山本 由伸,甲斐 拓也,1-0,●●●
3,カットボール,150km/h,遊飛,山本 由伸,甲斐 拓也,1-0,●●●
1,ストレート,149km/h,見逃し,板東 湧梧,宗 佑磨,1-0,
2,カーブ,110km/h,見逃し,板東 湧梧,宗 佑磨,1-0,
3,ストレート,145km/h,ボール  [高めのつり球を要求],板東 湧梧,宗 佑磨,1-0,
4,ストレート,150km/h,ボール,板東 湧梧,宗 佑磨,1-0,
5,ストレート,150km/h,ファウル,板東 湧梧,宗 佑磨,1-0,
6,カットボール,142km/h,ボール  [ワンバウンド],板東 湧梧,宗 佑磨,1-0,
7,ストレート,145km/h,四球,板東 湧梧,宗 佑磨,1-0,
1,ストレート,144km/h,ファウル  [セーフティバント、バントファウル],板東 湧梧,安達 了一,1-0,●
2,ストレート,148km/h,ボール  [バント構え],板東 湧梧,安達 了一,1-0,●
3,ストレート,-,捕犠打  [ライン際],板東 湧梧,安達 了一,1-0,●
1,カットボール,145km/h,空振り,板東 湧梧,杉本 裕太郎,1-0,●●
2,ストレート,150km/h,ファウル,板東 湧梧,杉本 裕太郎,1-0,●●
3,ストレート,150km/h,ファウル  [高めのつり球を要求],板東 湧梧,杉本 裕太郎,1-0,●●
4,ストレート,151km/h,ファウル,板東 湧梧,杉本 裕太郎,1-0,●●
5,フォーク,141km/h,ボール  [ワンバウンド],板東 湧梧,杉本 裕太郎,1-0,●●
6,フォーク,137km/h,空三振  [ワンバウンド、振り逃げを狙うもアウト],板東 湧梧,杉本 裕太郎,1-0,●●
1,ストレート,152km/h,見逃し,板東 湧梧,紅林 弘太郎,1-1,●●
2,ストレート,-,中安  [グラブ弾く],板東 湧梧,紅林 弘太郎,1-1,●●
1,カーブ,110km/h,見逃し,板東 湧梧,若月 健矢,1-1,●●●
2,ストレート,147km/h,ボール,板東 湧梧,若月 健矢,1-1,●●●
3,フォーク,138km/h,ファウル  [捕手悶絶],板東 湧梧,若月 健矢,1-1,●●●
4,ストレート,149km/h,三ゴロ,板東 湧梧,若月 健矢,1-1,●●●
1,フォーク,141km/h,ボール,山本 由伸,三森 大貴,1-1,●
2,フォーク,146km/h,見逃し,山本 由伸,三森 大貴,1-1,●
3,カーブ,127km/h,見逃し  [セーフティバント、バント構え],山本 由伸,三森 大貴,1-1,●
4,フォーク,149km/h,遊ゴロ  [泳ぎ],山本 由伸,三森 大貴,1-1,●
1,カーブ,122km/h,見逃し,山本 由伸,周東 佑京,1-1,●●
2,ストレート,156km/h,見逃し,山本 由伸,周東 佑京,1-1,●●
3,ストレート,154km/h,ボール  [高めのつり球を要求、ハーフスイング],山本 由伸,周東 佑京,1-1,●●
4,ストレート,152km/h,ボール,山本 由伸,周東 佑京,1-1,●●
5,フォーク,143km/h,ボール  [ワンバウンド],山本 由伸,周東 佑京,1-1,●●
6,シュート,149km/h,ファウル,山本 由伸,周東 佑京,1-1,●●
7,カーブ,126km/h,見三振,山本 由伸,周東 佑京,1-1,●●
1,フォーク,148km/h,ファウル,山本 由伸,牧原 大成,1-1,●●●
2,フォーク,148km/h,空振り,山本 由伸,牧原 大成,1-1,●●●
3,ストレート,155km/h,ファウル  [高めのつり球を要求],山本 由伸,牧原 大成,1-1,●●●
4,フォーク,144km/h,空三振,山本 由伸,牧原 大成,1-1,●●●
1,カットボール,141km/h,ボール,板東 湧梧,中川 圭太,1-1,●
2,ツーシーム,146km/h,ボール,板東 湧梧,中川 圭太,1-1,●
3,カットボール,143km/h,見逃し,板東 湧梧,中川 圭太,1-1,●
