投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
1,ストレート,146km/h,見逃し,大野 雄大,菅野 智之,1-1,●
2,ツーシーム,139km/h,見逃し,大野 雄大,菅野 智之,1-1,●
3,ストレート,148km/h,空三振,大野 雄大,菅野 智之,1-1,●
1,スライダー,124km/h,ボール  [打者のけぞる],大野 雄大,吉川 尚輝,1-1,●
2,カットボール,134km/h,ボール,大野 雄大,吉川 尚輝,1-1,●
3,ストレート,147km/h,見逃し,大野 雄大,吉川 尚輝,1-1,●
4,ツーシーム,138km/h,ファウル,大野 雄大,吉川 尚輝,1-1,●
5,フォーク,135km/h,ボール  [打者のけぞる],大野 雄大,吉川 尚輝,1-1,●
6,フォーク,136km/h,ファウル  [自打球],大野 雄大,吉川 尚輝,1-1,●
7,フォーク,137km/h,四球,大野 雄大,吉川 尚輝,1-1,●
1,カットボール,133km/h,ボール,大野 雄大,廣岡 大志,1-1,●●●
2,ストレート,146km/h,一直  [野手の正面をつく],大野 雄大,廣岡 大志,1-1,●●●
1,ツーシーム,149km/h,ボール,菅野 智之,ビシエド,2-1,
2,カットボール,140km/h,右本  [ポール際],菅野 智之,ビシエド,2-1,
1,ストレート,148km/h,ファウル,菅野 智之,木下 拓哉,2-1,●
2,ストレート,145km/h,ボール,菅野 智之,木下 拓哉,2-1,●
3,スライダー,132km/h,遊飛  [高々と舞い上がる],菅野 智之,木下 拓哉,2-1,●
1,ツーシーム,147km/h,ボール,菅野 智之,阿部 寿樹,2-1,●●
2,ツーシーム,147km/h,ファウル,菅野 智之,阿部 寿樹,2-1,●●
3,ストレート,147km/h,ファウル,菅野 智之,阿部 寿樹,2-1,●●
4,ストレート,148km/h,ファウル,菅野 智之,阿部 寿樹,2-1,●●
5,フォーク,138km/h,ボール  [ハーフスイング],菅野 智之,阿部 寿樹,2-1,●●
6,スライダー,134km/h,空三振,菅野 智之,阿部 寿樹,2-1,●●
1,スライダー,134km/h,ボール,菅野 智之,石川 昂弥,2-1,●●●
2,スライダー,131km/h,右飛,菅野 智之,石川 昂弥,2-1,●●●
1,カットボール,134km/h,ファウル  [自打球],大野 雄大,ポランコ,2-1,
2,ストレート,146km/h,ボール  [ハーフスイング],大野 雄大,ポランコ,2-1,
3,カットボール,139km/h,中安,大野 雄大,ポランコ,2-1,
1,ツーシーム,140km/h,右邪飛  [ライン際],大野 雄大,岡本 和真,2-1,●
1,ストレート,145km/h,空振り  [フルスイング],大野 雄大,中田 翔,2-1,●
2,ストレート,148km/h,ボール,大野 雄大,中田 翔,2-1,●
