投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
1,ストレート,132km/h,左飛,與座 海人,福田 周平,0-0,●
1,ストレート,134km/h,見逃し,與座 海人,西野 真弘,0-0,●●
2,スライダー,122km/h,ボール  [高めのつり球を要求],與座 海人,西野 真弘,0-0,●●
3,スライダー,122km/h,ファウル  [一塁ベンチへ飛び込む],與座 海人,西野 真弘,0-0,●●
4,ストレート,131km/h,ファウル,與座 海人,西野 真弘,0-0,●●
5,カーブ,93km/h,三ゴロ  [投手直撃],與座 海人,西野 真弘,0-0,●●
1,ストレート,131km/h,見逃し,與座 海人,中川 圭太,0-0,●●●
2,ストレート,133km/h,遊直  [詰り],與座 海人,中川 圭太,0-0,●●●
1,スライダー,120km/h,ボール,宮城 大弥,外崎 修汰,0-0,●
2,ストレート,143km/h,見逃し,宮城 大弥,外崎 修汰,0-0,●
3,ストレート,142km/h,ボール,宮城 大弥,外崎 修汰,0-0,●
4,スライダー,121km/h,空振り,宮城 大弥,外崎 修汰,0-0,●
5,ストレート,145km/h,見三振  [構えたところにズバリ],宮城 大弥,外崎 修汰,0-0,●
1,ストレート,141km/h,見逃し,宮城 大弥,源田 壮亮,0-0,●●
2,スライダー,122km/h,ボール,宮城 大弥,源田 壮亮,0-0,●●
3,スライダー,124km/h,二ゴロ,宮城 大弥,源田 壮亮,0-0,●●
1,カーブ,99km/h,空振り,宮城 大弥,森 友哉,0-0,●●●
2,カーブ,93km/h,ファウル,宮城 大弥,森 友哉,0-0,●●●
3,ストレート,145km/h,二ゴロ,宮城 大弥,森 友哉,0-0,●●●
1,ストレート,130km/h,ファウル,與座 海人,吉田 正尚,0-0,●
2,ストレート,131km/h,見逃し,與座 海人,吉田 正尚,0-0,●
3,カーブ,101km/h,ボール  [ワンバウンド],與座 海人,吉田 正尚,0-0,●
4,カーブ,105km/h,中飛,與座 海人,吉田 正尚,0-0,●
1,ストレート,135km/h,ボール,與座 海人,宗 佑磨,0-0,●
2,ストレート,133km/h,死球,與座 海人,宗 佑磨,0-0,●
1,ストレート,125km/h,見逃し,與座 海人,頓宮 裕真,1-0,●
2,ストレート,126km/h,ボール,與座 海人,頓宮 裕真,1-0,●
3,ストレート,128km/h,中２  [ランエンドヒット、後逸],與座 海人,頓宮 裕真,1-0,●
1,カーブ,101km/h,ボール,與座 海人,杉本 裕太郎,1-0,●●
2,ストレート,130km/h,見逃し,與座 海人,杉本 裕太郎,1-0,●●
3,ストレート,130km/h,ボール,與座 海人,杉本 裕太郎,1-0,●●
4,カーブ,106km/h,ボール,與座 海人,杉本 裕太郎,1-0,●●
5,ストレート,131km/h,中飛,與座 海人,杉本 裕太郎,1-0,●●
1,スライダー,124km/h,空振り,與座 海人,紅林 弘太郎,1-0,●●●
2,スライダー,124km/h,ボール,與座 海人,紅林 弘太郎,1-0,●●●
3,スライダー,122km/h,ファウル,與座 海人,紅林 弘太郎,1-0,●●●
4,ストレート,131km/h,ファウル  [高めのつり球を要求],與座 海人,紅林 弘太郎,1-0,●●●
5,ストレート,131km/h,ボール,與座 海人,紅林 弘太郎,1-0,●●●
6,スライダー,123km/h,遊ゴロ  [引っかけ],與座 海人,紅林 弘太郎,1-0,●●●
1,チェンジアップ,116km/h,空振り,宮城 大弥,山川 穂高,1-0,
2,ストレート,142km/h,見逃し,宮城 大弥,山川 穂高,1-0,
3,ストレート,143km/h,ボール,宮城 大弥,山川 穂高,1-0,
4,スライダー,128km/h,ボール  [ワンバウンド],宮城 大弥,山川 穂高,1-0,
5,ストレート,146km/h,右２  [フェンス直撃],宮城 大弥,山川 穂高,1-0,
1,ストレート,141km/h,見逃し,宮城 大弥,中村 剛也,1-0,●
2,チェンジアップ,121km/h,空振り,宮城 大弥,中村 剛也,1-0,●
3,ストレート,144km/h,ボール,宮城 大弥,中村 剛也,1-0,●
4,ストレート,142km/h,ボール,宮城 大弥,中村 剛也,1-0,●
5,ストレート,142km/h,見三振  [全く反応できず],宮城 大弥,中村 剛也,1-0,●
1,カーブ,104km/h,ボール,宮城 大弥,オグレディ,1-0,●●
2,ストレート,143km/h,見逃し,宮城 大弥,オグレディ,1-0,●●
3,ストレート,142km/h,遊飛  [詰り],宮城 大弥,オグレディ,1-0,●●
1,チェンジアップ,119km/h,ボール,宮城 大弥,愛斗,1-0,●●
2,スライダー,124km/h,中安,宮城 大弥,愛斗,1-0,●●
1,ストレート,144km/h,ファウル,宮城 大弥,呉 念庭,1-0,●●●
2,ストレート,143km/h,ファウル,宮城 大弥,呉 念庭,1-0,●●●
3,スライダー,127km/h,ボール,宮城 大弥,呉 念庭,1-0,●●●
4,ストレート,145km/h,ボール,宮城 大弥,呉 念庭,1-0,●●●
5,カーブ,102km/h,中飛,宮城 大弥,呉 念庭,1-0,●●●
1,スライダー,120km/h,ボール,與座 海人,伏見 寅威,1-0,●
2,スライダー,121km/h,空振り,與座 海人,伏見 寅威,1-0,●
3,ストレート,132km/h,ボール,與座 海人,伏見 寅威,1-0,●
4,スライダー,122km/h,ファウル,與座 海人,伏見 寅威,1-0,●
5,スライダー,123km/h,三ゴロ  [お手玉],與座 海人,伏見 寅威,1-0,●
1,スライダー,123km/h,ボール,與座 海人,福田 周平,1-0,●●
2,ストレート,132km/h,ボール,與座 海人,福田 周平,1-0,●●
3,スライダー,121km/h,見逃し,與座 海人,福田 周平,1-0,●●
4,ストレート,131km/h,二ゴロ,與座 海人,福田 周平,1-0,●●
