投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
1,スライダー,123km/h,見逃し,與座 海人,西野 真弘,1-0,●●●
2,チェンジアップ,110km/h,見逃し,與座 海人,西野 真弘,1-0,●●●
3,ストレート,133km/h,ファウル  [高めのつり球を要求],與座 海人,西野 真弘,1-0,●●●
4,ストレート,130km/h,左飛  [高めのつり球を要求],與座 海人,西野 真弘,1-0,●●●
1,チェンジアップ,117km/h,空振り,宮城 大弥,長谷川 信哉,1-0,●
2,チェンジアップ,116km/h,二ゴロ  [バットの先],宮城 大弥,長谷川 信哉,1-0,●
1,チェンジアップ,116km/h,見逃し,宮城 大弥,外崎 修汰,1-0,●●
2,ストレート,144km/h,右飛,宮城 大弥,外崎 修汰,1-0,●●
1,ストレート,143km/h,ボール,宮城 大弥,源田 壮亮,1-0,●●●
2,スライダー,123km/h,投ゴロ  [バットの先],宮城 大弥,源田 壮亮,1-0,●●●
1,ストレート,131km/h,ボール,與座 海人,中川 圭太,1-0,●
2,スライダー,121km/h,ボール,與座 海人,中川 圭太,1-0,●
3,スライダー,121km/h,見逃し,與座 海人,中川 圭太,1-0,●
4,スライダー,120km/h,中飛  [バットの先],與座 海人,中川 圭太,1-0,●
1,チェンジアップ,117km/h,一ゴロ,與座 海人,吉田 正尚,1-0,●●
1,ストレート,132km/h,見逃し,與座 海人,宗 佑磨,1-0,●●●
2,スライダー,123km/h,ボール  [高めのつり球を要求],與座 海人,宗 佑磨,1-0,●●●
3,スライダー,123km/h,ボール,與座 海人,宗 佑磨,1-0,●●●
4,ストレート,129km/h,ボール,與座 海人,宗 佑磨,1-0,●●●
5,ストレート,130km/h,見逃し  [一塁へ歩きかける],與座 海人,宗 佑磨,1-0,●●●
6,スライダー,121km/h,二ゴロ,與座 海人,宗 佑磨,1-0,●●●
1,スライダー,126km/h,空振り,宮城 大弥,森 友哉,1-0,●
2,ストレート,142km/h,ファウル,宮城 大弥,森 友哉,1-0,●
3,ストレート,141km/h,二ゴロ,宮城 大弥,森 友哉,1-0,●
1,スライダー,126km/h,見逃し,宮城 大弥,山川 穂高,1-0,●
2,ストレート,144km/h,ボール,宮城 大弥,山川 穂高,1-0,●
3,チェンジアップ,117km/h,ボール,宮城 大弥,山川 穂高,1-0,●
4,スライダー,127km/h,ボール,宮城 大弥,山川 穂高,1-0,●
5,スライダー,126km/h,四球  [ハーフスイング],宮城 大弥,山川 穂高,1-0,●
1,チェンジアップ,120km/h,空振り,宮城 大弥,中村 剛也,1-0,●●
2,ストレート,142km/h,ボール,宮城 大弥,中村 剛也,1-0,●●
3,スライダー,125km/h,ファウル,宮城 大弥,中村 剛也,1-0,●●
4,チェンジアップ,116km/h,空三振,宮城 大弥,中村 剛也,1-0,●●
1,ストレート,143km/h,ボール,宮城 大弥,オグレディ,1-0,●●●
2,カーブ,101km/h,見逃し,宮城 大弥,オグレディ,1-0,●●●
3,カーブ,100km/h,ボール,宮城 大弥,オグレディ,1-0,●●●
4,ストレート,139km/h,ファウル,宮城 大弥,オグレディ,1-0,●●●
5,ストレート,144km/h,左飛,宮城 大弥,オグレディ,1-0,●●●
1,ストレート,129km/h,ファウル,與座 海人,頓宮 裕真,1-0,●
2,スライダー,121km/h,ボール,與座 海人,頓宮 裕真,1-0,●
3,ストレート,123km/h,ボール,與座 海人,頓宮 裕真,1-0,●
4,ストレート,126km/h,ファウル,與座 海人,頓宮 裕真,1-0,●
5,ストレート,131km/h,三ゴロ  [引っかけ],與座 海人,頓宮 裕真,1-0,●
1,ストレート,129km/h,遊ゴロ  [詰り],與座 海人,杉本 裕太郎,1-0,●●
1,ストレート,131km/h,ボール,與座 海人,紅林 弘太郎,1-0,●●●
2,ストレート,128km/h,ボール,與座 海人,紅林 弘太郎,1-0,●●●
3,スライダー,121km/h,ボール,與座 海人,紅林 弘太郎,1-0,●●●
4,スライダー,122km/h,見逃し  [一塁へ歩きかける],與座 海人,紅林 弘太郎,1-0,●●●
5,ストレート,131km/h,右飛,與座 海人,紅林 弘太郎,1-0,●●●
1,カーブ,94km/h,右飛,宮城 大弥,愛斗,1-0,●
1,スライダー,122km/h,見逃し,宮城 大弥,呉 念庭,1-0,●●
2,カーブ,95km/h,見逃し,宮城 大弥,呉 念庭,1-0,●●
3,フォーク,132km/h,ボール,宮城 大弥,呉 念庭,1-0,●●
4,ストレート,144km/h,ボール,宮城 大弥,呉 念庭,1-0,●●
5,ストレート,142km/h,ファウル  [自打球],宮城 大弥,呉 念庭,1-0,●●
6,スライダー,130km/h,遊飛  [バットの先、泳ぎ],宮城 大弥,呉 念庭,1-0,●●
1,ストレート,144km/h,見逃し,宮城 大弥,長谷川 信哉,1-0,●●●
2,ストレート,143km/h,ボール,宮城 大弥,長谷川 信哉,1-0,●●●
3,チェンジアップ,117km/h,一飛  [高々と舞い上がる],宮城 大弥,長谷川 信哉,1-0,●●●
1,スライダー,121km/h,見逃し,與座 海人,伏見 寅威,1-0,●
2,スライダー,122km/h,二ゴロ,與座 海人,伏見 寅威,1-0,●
1,ストレート,130km/h,見逃し,與座 海人,福田 周平,1-0,●●
2,スライダー,122km/h,ボール  [高めのつり球を要求],與座 海人,福田 周平,1-0,●●
3,スライダー,121km/h,空振り  [高めのつり球を要求],與座 海人,福田 周平,1-0,●●
4,スライダー,122km/h,ボール,與座 海人,福田 周平,1-0,●●
5,ストレート,128km/h,ボール,與座 海人,福田 周平,1-0,●●
6,ストレート,130km/h,中飛,與座 海人,福田 周平,1-0,●●
1,スライダー,122km/h,ファウル,與座 海人,西野 真弘,1-0,●●
2,ストレート,133km/h,ボール,與座 海人,西野 真弘,1-0,●●
3,スライダー,123km/h,中安,與座 海人,西野 真弘,1-0,●●
1,カーブ,108km/h,ボール,與座 海人,中川 圭太,1-0,●●●
2,ストレート,132km/h,左飛  [フェンスギリギリ],與座 海人,中川 圭太,1-0,●●●
1,ストレート,140km/h,ボール,宮城 大弥,外崎 修汰,1-0,●
2,スライダー,122km/h,見逃し,宮城 大弥,外崎 修汰,1-0,●
3,カーブ,101km/h,見逃し,宮城 大弥,外崎 修汰,1-0,●
4,チェンジアップ,113km/h,遊ゴロ  [引っかけ、泳ぎ、ランニングスロー],宮城 大弥,外崎 修汰,1-0,●
1,ストレート,143km/h,見逃し,宮城 大弥,源田 壮亮,1-0,●
2,カーブ,101km/h,ボール,宮城 大弥,源田 壮亮,1-0,●
3,スライダー,123km/h,左安,宮城 大弥,源田 壮亮,1-0,●
1,カーブ,102km/h,ボール,宮城 大弥,森 友哉,1-0,●●●
2,カーブ,100km/h,二併打  [逆シングル、リプレー検証後判定覆る],宮城 大弥,森 友哉,1-0,●●●
1,ストレート,129km/h,見逃し,與座 海人,吉田 正尚,1-0,●
2,ストレート,130km/h,見逃し,與座 海人,吉田 正尚,1-0,●
3,ストレート,128km/h,ファウル  [高めのつり球を要求],與座 海人,吉田 正尚,1-0,●
4,ストレート,130km/h,ボール  [高めのつり球を要求],與座 海人,吉田 正尚,1-0,●
5,ストレート,129km/h,三邪飛  [詰り],與座 海人,吉田 正尚,1-0,●
1,ストレート,131km/h,見逃し,與座 海人,宗 佑磨,1-0,●
2,カーブ,105km/h,ボール,與座 海人,宗 佑磨,1-0,●
3,カーブ,99km/h,中２  [エンタイトルツーベース],與座 海人,宗 佑磨,1-0,●
1,ストレート,130km/h,ファウル,與座 海人,頓宮 裕真,2-0,●
2,ストレート,125km/h,左２  [フェンス直撃],與座 海人,頓宮 裕真,2-0,●
1,ストレート,131km/h,見逃し,與座 海人,杉本 裕太郎,2-0,●
2,スライダー,122km/h,ボール,與座 海人,杉本 裕太郎,2-0,●
3,カーブ,101km/h,ボール,與座 海人,杉本 裕太郎,2-0,●
4,ストレート,130km/h,見逃し,與座 海人,杉本 裕太郎,2-0,●
5,スライダー,121km/h,ボール,與座 海人,杉本 裕太郎,2-0,●
6,ストレート,129km/h,ファウル,與座 海人,杉本 裕太郎,2-0,●
7,スライダー,118km/h,四球  [ワンバウンド],與座 海人,杉本 裕太郎,2-0,●
1,スライダー,123km/h,ファウル  [スクイズ、バントファウル],與座 海人,紅林 弘太郎,2-0,●●
2,ストレート,132km/h,ファウル  [高めのつり球を要求],與座 海人,紅林 弘太郎,2-0,●●
3,ストレート,129km/h,ファウル  [高めのつり球を要求],與座 海人,紅林 弘太郎,2-0,●●
4,ストレート,128km/h,遊直  [詰り、野手の正面をつく],與座 海人,紅林 弘太郎,2-0,●●
1,カーブ,104km/h,見逃し  [送球できず],與座 海人,伏見 寅威,2-0,●●
1,カーブ,104km/h,見逃し  [送球できず],與座 海人,伏見 寅威,2-0,●●●
2,ストレート,130km/h,ファウル,與座 海人,伏見 寅威,2-0,●●●
3,ストレート,131km/h,右飛,與座 海人,伏見 寅威,2-0,●●●
1,ストレート,138km/h,見逃し,宮城 大弥,山川 穂高,2-0,●
2,チェンジアップ,117km/h,ボール  [ワンバウンド、ハーフスイング],宮城 大弥,山川 穂高,2-0,●
3,スライダー,123km/h,ファウル,宮城 大弥,山川 穂高,2-0,●
4,ストレート,142km/h,空三振,宮城 大弥,山川 穂高,2-0,●
1,スライダー,122km/h,見逃し,宮城 大弥,中村 剛也,2-0,●●
2,ストレート,143km/h,ボール,宮城 大弥,中村 剛也,2-0,●●
3,スライダー,125km/h,中飛,宮城 大弥,中村 剛也,2-0,●●
1,ストレート,139km/h,ファウル,宮城 大弥,オグレディ,2-0,●●●
2,ストレート,138km/h,左飛,宮城 大弥,オグレディ,2-0,●●●
1,ストレート,148km/h,ボール,ボー・タカハシ,福田 周平,2-0,
2,ストレート,149km/h,ボール,ボー・タカハシ,福田 周平,2-0,
3,ストレート,146km/h,ボール  [セーフティバント、バント構え],ボー・タカハシ,福田 周平,2-0,
4,ストレート,146km/h,四球,ボー・タカハシ,福田 周平,2-0,
1,スライダー,133km/h,見逃し  [バント構え],ボー・タカハシ,大城 滉二,2-0,
2,ストレート,146km/h,ファウル  [バスターエンドラン],ボー・タカハシ,大城 滉二,2-0,
3,ストレート,150km/h,右安  [ライン際],ボー・タカハシ,大城 滉二,2-0,
1,カーブ,121km/h,見逃し,ボー・タカハシ,中川 圭太,3-0,●
2,スライダー,134km/h,ボール,ボー・タカハシ,中川 圭太,3-0,●
3,スライダー,134km/h,空振り,ボー・タカハシ,中川 圭太,3-0,●
4,ストレート,148km/h,ボール  [高めのつり球を要求],ボー・タカハシ,中川 圭太,3-0,●
5,ストレート,149km/h,ファウル,ボー・タカハシ,中川 圭太,3-0,●
6,スライダー,133km/h,左犠飛,ボー・タカハシ,中川 圭太,3-0,●
1,カーブ,122km/h,ボール,ボー・タカハシ,吉田 正尚,3-0,●
2,カーブ,122km/h,ボール,ボー・タカハシ,吉田 正尚,3-0,●
3,スライダー,134km/h,ファウル,ボー・タカハシ,吉田 正尚,3-0,●
4,スライダー,132km/h,ファウル,ボー・タカハシ,吉田 正尚,3-0,●
5,ストレート,148km/h,右安,ボー・タカハシ,吉田 正尚,3-0,●
1,スライダー,133km/h,右本,ボー・タカハシ,宗 佑磨,6-0,●
1,ストレート,149km/h,ボール,ボー・タカハシ,頓宮 裕真,6-0,●●
2,ストレート,149km/h,空振り,ボー・タカハシ,頓宮 裕真,6-0,●●
3,カーブ,123km/h,見逃し,ボー・タカハシ,頓宮 裕真,6-0,●●
4,ストレート,147km/h,ボール,ボー・タカハシ,頓宮 裕真,6-0,●●
5,ストレート,149km/h,空三振,ボー・タカハシ,頓宮 裕真,6-0,●●
1,ストレート,148km/h,ボール,ボー・タカハシ,杉本 裕太郎,6-0,●●
2,ストレート,148km/h,中２,ボー・タカハシ,杉本 裕太郎,6-0,●●
1,スライダー,134km/h,見逃し,ボー・タカハシ,紅林 弘太郎,6-0,●●●
2,ストレート,148km/h,右邪飛  [ライン際],ボー・タカハシ,紅林 弘太郎,6-0,●●●
1,ストレート,139km/h,ボール,宮城 大弥,愛斗,6-0,●
2,ストレート,139km/h,中飛,宮城 大弥,愛斗,6-0,●
1,スライダー,123km/h,見逃し,宮城 大弥,呉 念庭,6-0,●
2,ストレート,137km/h,ボール,宮城 大弥,呉 念庭,6-0,●
3,ストレート,137km/h,中安,宮城 大弥,呉 念庭,6-0,●
1,カーブ,99km/h,ボール  [ワンバウンド],宮城 大弥,長谷川 信哉,6-0,●
2,ストレート,139km/h,ファウル,宮城 大弥,長谷川 信哉,6-0,●
3,チェンジアップ,117km/h,中安  [詰り],宮城 大弥,長谷川 信哉,6-0,●
1,チェンジアップ,116km/h,ボール,宮城 大弥,外崎 修汰,6-0,●
2,ストレート,141km/h,見逃し,宮城 大弥,外崎 修汰,6-0,●
3,スライダー,124km/h,ボール  [ハーフスイング],宮城 大弥,外崎 修汰,6-0,●
4,スライダー,120km/h,ボール,宮城 大弥,外崎 修汰,6-0,●
5,ストレート,140km/h,四球  [投手がっくり],宮城 大弥,外崎 修汰,6-0,●
1,ストレート,140km/h,ボール,宮城 大弥,源田 壮亮,6-0,●●●
2,ストレート,140km/h,ボール,宮城 大弥,源田 壮亮,6-0,●●●
3,ストレート,139km/h,見逃し,宮城 大弥,源田 壮亮,6-0,●●●
4,ストレート,141km/h,ファウル,宮城 大弥,源田 壮亮,6-0,●●●
5,ストレート,141km/h,遊併打,宮城 大弥,源田 壮亮,6-0,●●●
1,スライダー,116km/h,空振り,内海 哲也,伏見 寅威,6-0,●
2,ツーシーム,138km/h,見逃し,内海 哲也,伏見 寅威,6-0,●
3,ツーシーム,139km/h,ボール,内海 哲也,伏見 寅威,6-0,●
4,スライダー,117km/h,ファウル,内海 哲也,伏見 寅威,6-0,●
5,スライダー,117km/h,ファウル,内海 哲也,伏見 寅威,6-0,●
6,ストレート,137km/h,中飛,内海 哲也,伏見 寅威,6-0,●
1,ストレート,137km/h,中安,内海 哲也,福田 周平,6-0,●
1,スライダー,114km/h,見逃し,内海 哲也,大城 滉二,6-0,●●
2,スライダー,115km/h,ボール  [ワンバウンド],内海 哲也,大城 滉二,6-0,●●
3,ツーシーム,136km/h,ボール,内海 哲也,大城 滉二,6-0,●●
4,ストレート,136km/h,ボール,内海 哲也,大城 滉二,6-0,●●
5,ツーシーム,138km/h,ファウル  [ライン際の打球を見送る],内海 哲也,大城 滉二,6-0,●●
6,ツーシーム,138km/h,ファウル  [ランエンドヒット],内海 哲也,大城 滉二,6-0,●●
7,スライダー,115km/h,空三振  [ランエンドヒット],内海 哲也,大城 滉二,6-0,●●
1,ツーシーム,135km/h,見逃し,内海 哲也,中川 圭太,6-0,●●
2,ツーシーム,137km/h,右安,内海 哲也,中川 圭太,6-0,●●
1,ツーシーム,136km/h,見逃し,内海 哲也,吉田 正尚,6-0,●●●
2,カットボール,124km/h,遊飛  [高々と舞い上がる],内海 哲也,吉田 正尚,6-0,●●●
1,ストレート,146km/h,ファウル,阿部 翔太,森 友哉,6-0,●
2,カットボール,137km/h,空振り,阿部 翔太,森 友哉,6-0,●
3,ストレート,147km/h,左飛,阿部 翔太,森 友哉,6-0,●
1,ストレート,147km/h,中飛  [フェンスギリギリ],阿部 翔太,山川 穂高,6-0,●●
1,スプリット,135km/h,見逃し,阿部 翔太,中村 剛也,6-0,●●
2,スプリット,137km/h,空振り,阿部 翔太,中村 剛也,6-0,●●
3,スプリット,137km/h,中安,阿部 翔太,中村 剛也,6-0,●●
1,ストレート,146km/h,ファウル,阿部 翔太,オグレディ,6-0,●●●
2,ストレート,144km/h,ボール,阿部 翔太,オグレディ,6-0,●●●
3,ストレート,144km/h,ファウル,阿部 翔太,オグレディ,6-0,●●●
4,ストレート,145km/h,ファウル  [高めのつり球を要求],阿部 翔太,オグレディ,6-0,●●●
5,スプリット,134km/h,ボール,阿部 翔太,オグレディ,6-0,●●●
6,スプリット,135km/h,空三振  [ワンバウンド],阿部 翔太,オグレディ,6-0,●●●
1,ストレート,146km/h,空振り,武田 翔太,万波 中正,0-0,
2,ストレート,145km/h,左２,武田 翔太,万波 中正,0-0,
1,ストレート,146km/h,投犠打  [セーフティバント],武田 翔太,松本 剛,0-0,●
1,カーブ,117km/h,見逃し,武田 翔太,清宮 幸太郎,0-0,●●
2,ストレート,146km/h,二飛  [高々と舞い上がる],武田 翔太,清宮 幸太郎,0-0,●●
1,ストレート,147km/h,ボール,武田 翔太,近藤 健介,1-0,●●
2,カーブ,116km/h,見逃し,武田 翔太,近藤 健介,1-0,●●
3,チェンジアップ,132km/h,ボール  [ワンバウンド],武田 翔太,近藤 健介,1-0,●●
4,カーブ,121km/h,ボール,武田 翔太,近藤 健介,1-0,●●
5,カーブ,119km/h,見逃し,武田 翔太,近藤 健介,1-0,●●
6,スライダー,139km/h,右２  [フェンス直撃],武田 翔太,近藤 健介,1-0,●●
1,チェンジアップ,132km/h,空振り,武田 翔太,今川 優馬,1-0,●●●
2,ストレート,147km/h,ファウル  [高めのつり球を要求],武田 翔太,今川 優馬,1-0,●●●
3,スライダー,138km/h,ボール,武田 翔太,今川 優馬,1-0,●●●
4,カーブ,122km/h,ボール  [ワンバウンド、捕手後逸阻止],武田 翔太,今川 優馬,1-0,●●●
5,カーブ,122km/h,ボール,武田 翔太,今川 優馬,1-0,●●●
6,チェンジアップ,134km/h,空三振  [ワンバウンド],武田 翔太,今川 優馬,1-0,●●●
1,ストレート,147km/h,遊飛  [高々と舞い上がる],上沢 直之,今宮 健太,1-0,●
1,カットボール,143km/h,見逃し,上沢 直之,髙田 知季,1-0,●●
2,ストレート,148km/h,空振り,上沢 直之,髙田 知季,1-0,●●
3,カットボール,146km/h,ファウル,上沢 直之,髙田 知季,1-0,●●
4,フォーク,143km/h,ファウル,上沢 直之,髙田 知季,1-0,●●
5,カットボール,145km/h,中飛,上沢 直之,髙田 知季,1-0,●●
1,カットボール,147km/h,ボール,上沢 直之,柳田 悠岐,1-0,●●●
2,カットボール,145km/h,ファウル,上沢 直之,柳田 悠岐,1-0,●●●
3,カットボール,143km/h,ファウル,上沢 直之,柳田 悠岐,1-0,●●●
4,ストレート,149km/h,ボール  [高めのつり球を要求],上沢 直之,柳田 悠岐,1-0,●●●
5,ナックルカーブ,127km/h,左飛,上沢 直之,柳田 悠岐,1-0,●●●
1,ストレート,145km/h,空振り,武田 翔太,野村 佑希,1-0,●
2,カーブ,115km/h,見逃し,武田 翔太,野村 佑希,1-0,●
3,ストレート,146km/h,ボール  [高めのつり球を要求],武田 翔太,野村 佑希,1-0,●
4,ストレート,146km/h,空三振,武田 翔太,野村 佑希,1-0,●
1,スライダー,138km/h,ボール,武田 翔太,上川畑 大悟,1-0,●
2,スライダー,137km/h,ボール,武田 翔太,上川畑 大悟,1-0,●
3,ストレート,147km/h,見逃し,武田 翔太,上川畑 大悟,1-0,●
4,スライダー,137km/h,左安,武田 翔太,上川畑 大悟,1-0,●
1,カーブ,116km/h,右安  [ヒットエンドラン],武田 翔太,宇佐見 真吾,1-0,●
1,ストレート,146km/h,一犠打  [セーフティスクイズ],武田 翔太,佐藤 龍世,2-0,●●
1,カーブ,120km/h,ボール,武田 翔太,万波 中正,2-0,●●●
2,カーブ,121km/h,ボール,武田 翔太,万波 中正,2-0,●●●
3,カーブ,115km/h,見逃し,武田 翔太,万波 中正,2-0,●●●
4,チェンジアップ,133km/h,二ゴロ  [バットの先、ボテボテ],武田 翔太,万波 中正,2-0,●●●
1,ナックルカーブ,118km/h,見逃し,上沢 直之,デスパイネ,2-0,●
2,ナックルカーブ,122km/h,見逃し,上沢 直之,デスパイネ,2-0,●
3,スライダー,130km/h,ボール,上沢 直之,デスパイネ,2-0,●
4,チェンジアップ,129km/h,ボール,上沢 直之,デスパイネ,2-0,●
5,ストレート,148km/h,見三振,上沢 直之,デスパイネ,2-0,●
1,カットボール,144km/h,ファウル,上沢 直之,谷川原 健太,2-0,●●
2,カットボール,143km/h,ボール,上沢 直之,谷川原 健太,2-0,●●
3,チェンジアップ,128km/h,ボール,上沢 直之,谷川原 健太,2-0,●●
4,ストレート,147km/h,空振り,上沢 直之,谷川原 健太,2-0,●●
5,カットボール,143km/h,ファウル,上沢 直之,谷川原 健太,2-0,●●
6,ストレート,146km/h,ファウル,上沢 直之,谷川原 健太,2-0,●●
7,ストレート,148km/h,空三振,上沢 直之,谷川原 健太,2-0,●●
1,ストレート,147km/h,ファウル,上沢 直之,野村 大樹,2-0,●●
2,スライダー,130km/h,ボール,上沢 直之,野村 大樹,2-0,●●
3,スライダー,130km/h,見逃し,上沢 直之,野村 大樹,2-0,●●
4,スライダー,130km/h,ファウル,上沢 直之,野村 大樹,2-0,●●
5,ツーシーム,143km/h,中安,上沢 直之,野村 大樹,2-0,●●
1,ストレート,146km/h,ボール,上沢 直之,ガルビス,2-0,●●●
2,カットボール,143km/h,ファウル,上沢 直之,ガルビス,2-0,●●●
3,ストレート,147km/h,空振り,上沢 直之,ガルビス,2-0,●●●
4,ストレート,148km/h,ファウル,上沢 直之,ガルビス,2-0,●●●
5,ストレート,149km/h,ボール,上沢 直之,ガルビス,2-0,●●●
6,カットボール,141km/h,空三振,上沢 直之,ガルビス,2-0,●●●
1,カーブ,115km/h,見逃し,武田 翔太,松本 剛,2-0,●
2,ストレート,145km/h,左飛,武田 翔太,松本 剛,2-0,●
1,ストレート,146km/h,見逃し,武田 翔太,清宮 幸太郎,2-0,●
2,ストレート,148km/h,ボール  [高めのつり球を要求],武田 翔太,清宮 幸太郎,2-0,●
3,ストレート,148km/h,見逃し,武田 翔太,清宮 幸太郎,2-0,●
4,チェンジアップ,134km/h,ボール,武田 翔太,清宮 幸太郎,2-0,●
5,カーブ,123km/h,ボール,武田 翔太,清宮 幸太郎,2-0,●
6,カーブ,121km/h,四球,武田 翔太,清宮 幸太郎,2-0,●
1,ストレート,146km/h,中飛,武田 翔太,近藤 健介,2-0,●●
1,カーブ,117km/h,ボール,武田 翔太,今川 優馬,2-0,●●
2,ストレート,146km/h,ファウル,武田 翔太,今川 優馬,2-0,●●
3,ストレート,148km/h,ファウル,武田 翔太,今川 優馬,2-0,●●
4,ストレート,147km/h,死球  [苦悶の表情],武田 翔太,今川 優馬,2-0,●●
1,ストレート,146km/h,一邪飛,武田 翔太,野村 佑希,2-0,●●●
1,ストレート,146km/h,投ゴロ  [セーフティバント],上沢 直之,佐藤 直樹,2-0,●
1,ストレート,146km/h,見逃し,上沢 直之,甲斐 拓也,2-0,●●
