投球数,球種,球速,結果,投手,打者,スコア
1,ストレート,149km/h,ボール,松井 友飛,平沼 翔太,0-0
2,ストレート,148km/h,ボール,松井 友飛,平沼 翔太,0-0
3,ストレート,148km/h,見逃し,松井 友飛,平沼 翔太,0-0
4,ストレート,146km/h,ボール,松井 友飛,平沼 翔太,0-0
5,ストレート,149km/h,見逃し  [一塁へ歩きかける],松井 友飛,平沼 翔太,0-0
6,ストレート,149km/h,空三振  [ハーフスイング],松井 友飛,平沼 翔太,0-0
1,ストレート,149km/h,ボール,松井 友飛,源田 壮亮,0-0
2,ストレート,148km/h,ファウル,松井 友飛,源田 壮亮,0-0
3,カーブ,126km/h,ボール  [ワンバウンド],松井 友飛,源田 壮亮,0-0
4,ストレート,149km/h,見逃し,松井 友飛,源田 壮亮,0-0
5,チェンジアップ,137km/h,ボール,松井 友飛,源田 壮亮,0-0
6,ストレート,149km/h,ファウル,松井 友飛,源田 壮亮,0-0
7,ストレート,148km/h,ファウル,松井 友飛,源田 壮亮,0-0
8,ストレート,149km/h,四球,松井 友飛,源田 壮亮,0-0
1,チェンジアップ,133km/h,ボール,松井 友飛,森 友哉,0-0
2,ストレート,146km/h,ボール,松井 友飛,森 友哉,0-0
3,ストレート,147km/h,投ゴロ  [投手のグラブを弾く],松井 友飛,森 友哉,0-0
1,カーブ,125km/h,ボール  [ワンバウンド],松井 友飛,山川 穂高,1-0
2,カーブ,123km/h,空振り,松井 友飛,山川 穂高,1-0
3,ストレート,149km/h,ファウル  [高めのつり球を要求],松井 友飛,山川 穂高,1-0
4,チェンジアップ,134km/h,ボール,松井 友飛,山川 穂高,1-0
5,チェンジアップ,133km/h,左安,松井 友飛,山川 穂高,1-0
1,ストレート,147km/h,ファウル,松井 友飛,外崎 修汰,1-0
2,ストレート,146km/h,見逃し,松井 友飛,外崎 修汰,1-0
3,チェンジアップ,135km/h,空三振  [ファウルチップ],松井 友飛,外崎 修汰,1-0
1,ストレート,145km/h,ボール,髙橋 光成,西川 遥輝,1-0
2,ストレート,144km/h,見逃し,髙橋 光成,西川 遥輝,1-0
3,ストレート,146km/h,中安,髙橋 光成,西川 遥輝,1-0
1,カットボール,139km/h,ボール,髙橋 光成,小深田 大翔,1-0
2,縦スライダー,128km/h,見逃し,髙橋 光成,小深田 大翔,1-0
3,カットボール,138km/h,見逃し,髙橋 光成,小深田 大翔,1-0
4,縦スライダー,131km/h,投併打,髙橋 光成,小深田 大翔,1-0
1,縦スライダー,132km/h,ボール,髙橋 光成,浅村 栄斗,1-0
2,カットボール,140km/h,ファウル,髙橋 光成,浅村 栄斗,1-0
3,ストレート,150km/h,ボール,髙橋 光成,浅村 栄斗,1-0
4,ストレート,146km/h,左安,髙橋 光成,浅村 栄斗,1-0
1,カーブ,118km/h,ボール,髙橋 光成,島内 宏明,1-0
2,カーブ,118km/h,ボール,髙橋 光成,島内 宏明,1-0
3,縦スライダー,130km/h,見逃し,髙橋 光成,島内 宏明,1-0
4,カットボール,136km/h,ボール,髙橋 光成,島内 宏明,1-0
5,縦スライダー,131km/h,見逃し,髙橋 光成,島内 宏明,1-0
6,ストレート,150km/h,見三振  [構えたところにズバリ],髙橋 光成,島内 宏明,1-0
1,ストレート,145km/h,ファウル,松井 友飛,中村 剛也,1-0
2,カットボール,136km/h,中安,松井 友飛,中村 剛也,1-0
1,ストレート,143km/h,ボール,松井 友飛,オグレディ,3-0
2,ストレート,143km/h,ファウル,松井 友飛,オグレディ,3-0
3,チェンジアップ,131km/h,空振り,松井 友飛,オグレディ,3-0
4,ストレート,145km/h,ファウル,松井 友飛,オグレディ,3-0
5,ストレート,146km/h,ボール,松井 友飛,オグレディ,3-0
6,チェンジアップ,133km/h,ボール,松井 友飛,オグレディ,3-0
7,ストレート,145km/h,右本,松井 友飛,オグレディ,3-0
1,カーブ,122km/h,ボール  [ワンバウンド],松井 友飛,高木 渉,3-0
2,カーブ,119km/h,見逃し,松井 友飛,高木 渉,3-0
3,ストレート,146km/h,空振り,松井 友飛,高木 渉,3-0
4,ストレート,144km/h,ファウル,松井 友飛,高木 渉,3-0
5,チェンジアップ,135km/h,二ゴロ  [引っかけ],松井 友飛,高木 渉,3-0
1,ストレート,143km/h,見逃し,松井 友飛,長谷川 信哉,3-0
2,カットボール,140km/h,二ゴロ  [バットの先],松井 友飛,長谷川 信哉,3-0
1,カーブ,120km/h,ボール,松井 友飛,平沼 翔太,3-0
2,チェンジアップ,133km/h,ボール,松井 友飛,平沼 翔太,3-0
3,ストレート,145km/h,ファウル,松井 友飛,平沼 翔太,3-0
4,チェンジアップ,134km/h,遊安  [バットの先、バット折れる、送球がバウンド],松井 友飛,平沼 翔太,3-0
1,チェンジアップ,132km/h,ボール,松井 友飛,源田 壮亮,3-0
2,ストレート,145km/h,左飛,松井 友飛,源田 壮亮,3-0
1,ストレート,147km/h,ボール,髙橋 光成,銀次,3-0
2,ストレート,143km/h,ボール,髙橋 光成,銀次,3-0
3,カットボール,137km/h,ファウル,髙橋 光成,銀次,3-0
4,ストレート,146km/h,ボール,髙橋 光成,銀次,3-0
5,ストレート,145km/h,四球,髙橋 光成,銀次,3-0
1,フォーク,140km/h,ボール,髙橋 光成,茂木 栄五郎,3-0
2,ストレート,145km/h,左安,髙橋 光成,茂木 栄五郎,3-0
1,縦スライダー,131km/h,ボール,髙橋 光成,岡島 豪郎,3-0
2,フォーク,140km/h,二併打,髙橋 光成,岡島 豪郎,3-0
1,縦スライダー,132km/h,ファウル,髙橋 光成,辰己 涼介,3-0
2,カットボール,139km/h,ファウル,髙橋 光成,辰己 涼介,3-0
3,ストレート,147km/h,ボール,髙橋 光成,辰己 涼介,3-0
4,カットボール,141km/h,ボール,髙橋 光成,辰己 涼介,3-0
5,縦スライダー,136km/h,ボール  [ワンバウンド],髙橋 光成,辰己 涼介,3-0
6,縦スライダー,134km/h,ファウル,髙橋 光成,辰己 涼介,3-0
7,フォーク,144km/h,空三振,髙橋 光成,辰己 涼介,3-0
1,カーブ,120km/h,左２,松井 友飛,森 友哉,3-0
1,カットボール,139km/h,ボール,松井 友飛,山川 穂高,3-0
2,カーブ,121km/h,空振り  [ハーフスイング],松井 友飛,山川 穂高,3-0
3,カーブ,122km/h,ボール  [ワンバウンド、ハーフスイング],松井 友飛,山川 穂高,3-0
4,カーブ,120km/h,左飛  [タッチアップ],松井 友飛,山川 穂高,3-0
1,ストレート,144km/h,ボール,松井 友飛,外崎 修汰,4-0
2,チェンジアップ,135km/h,ボール,松井 友飛,外崎 修汰,4-0
3,チェンジアップ,132km/h,見逃し,松井 友飛,外崎 修汰,4-0
4,チェンジアップ,134km/h,空振り,松井 友飛,外崎 修汰,4-0
5,ストレート,147km/h,ファウル,松井 友飛,外崎 修汰,4-0
6,チェンジアップ,133km/h,ファウル,松井 友飛,外崎 修汰,4-0
7,チェンジアップ,134km/h,ファウル,松井 友飛,外崎 修汰,4-0
8,ストレート,149km/h,ファウル,松井 友飛,外崎 修汰,4-0
9,チェンジアップ,135km/h,左安,松井 友飛,外崎 修汰,4-0
1,ストレート,144km/h,中飛,松井 友飛,中村 剛也,4-0
1,ストレート,142km/h,ファウル,松井 友飛,オグレディ,4-0
2,カーブ,121km/h,ボール,松井 友飛,オグレディ,4-0
3,チェンジアップ,134km/h,空振り  [ワンバウンド],松井 友飛,オグレディ,4-0
4,ストレート,145km/h,ボール,松井 友飛,オグレディ,4-0
5,チェンジアップ,136km/h,空三振  [ランエンドヒット],松井 友飛,オグレディ,4-0
1,カットボール,138km/h,見逃し,髙橋 光成,太田 光,4-0
2,フォーク,138km/h,ボール,髙橋 光成,太田 光,4-0
3,縦スライダー,128km/h,ボール,髙橋 光成,太田 光,4-0
4,縦スライダー,130km/h,空振り,髙橋 光成,太田 光,4-0
5,フォーク,140km/h,空三振,髙橋 光成,太田 光,4-0
1,縦スライダー,130km/h,見逃し,髙橋 光成,西川 遥輝,4-0
2,カットボール,139km/h,空振り,髙橋 光成,西川 遥輝,4-0
3,ストレート,147km/h,ファウル,髙橋 光成,西川 遥輝,4-0
4,ストレート,148km/h,ファウル,髙橋 光成,西川 遥輝,4-0
5,ストレート,146km/h,ファウル,髙橋 光成,西川 遥輝,4-0
6,ストレート,149km/h,左安,髙橋 光成,西川 遥輝,4-0
1,ストレート,149km/h,ボール,髙橋 光成,小深田 大翔,4-0
2,縦スライダー,129km/h,ボール,髙橋 光成,小深田 大翔,4-0
3,フォーク,141km/h,遊併打,髙橋 光成,小深田 大翔,4-0
1,チェンジアップ,130km/h,ボール  [ワンバウンド],松井 友飛,高木 渉,4-0
2,カーブ,116km/h,ボール,松井 友飛,高木 渉,4-0
3,ストレート,145km/h,ボール,松井 友飛,高木 渉,4-0
4,ストレート,143km/h,四球,松井 友飛,高木 渉,4-0
1,ストレート,141km/h,ボール,松井 友飛,長谷川 信哉,4-0
2,カーブ,117km/h,見逃し,松井 友飛,長谷川 信哉,4-0
3,ストレート,144km/h,一邪飛,松井 友飛,長谷川 信哉,4-0
1,チェンジアップ,130km/h,見逃し,松井 友飛,平沼 翔太,4-0
2,チェンジアップ,132km/h,ボール  [ワンバウンド],松井 友飛,平沼 翔太,4-0
3,カーブ,117km/h,ファウル  [ヒットエンドラン],松井 友飛,平沼 翔太,4-0
4,チェンジアップ,133km/h,二併打  [引っかけ],松井 友飛,平沼 翔太,4-0
1,カットボール,138km/h,見逃し,髙橋 光成,浅村 栄斗,4-1
2,カットボール,138km/h,ボール,髙橋 光成,浅村 栄斗,4-1
3,カットボール,138km/h,ボール,髙橋 光成,浅村 栄斗,4-1
4,ストレート,147km/h,見逃し,髙橋 光成,浅村 栄斗,4-1
5,カットボール,140km/h,中本  [バックスクリーン],髙橋 光成,浅村 栄斗,4-1
1,カーブ,113km/h,見逃し,髙橋 光成,島内 宏明,4-1
2,縦スライダー,133km/h,ボール,髙橋 光成,島内 宏明,4-1
3,縦スライダー,132km/h,空振り,髙橋 光成,島内 宏明,4-1
4,カットボール,142km/h,二ゴロ,髙橋 光成,島内 宏明,4-1
1,ストレート,149km/h,ボール,髙橋 光成,銀次,4-1
2,ストレート,147km/h,左飛,髙橋 光成,銀次,4-1
1,カットボール,142km/h,見逃し,髙橋 光成,茂木 栄五郎,4-1
2,フォーク,140km/h,ボール,髙橋 光成,茂木 栄五郎,4-1
3,ストレート,149km/h,見逃し,髙橋 光成,茂木 栄五郎,4-1
4,縦スライダー,136km/h,ボール  [ワンバウンド],髙橋 光成,茂木 栄五郎,4-1
5,カットボール,141km/h,ファウル,髙橋 光成,茂木 栄五郎,4-1
6,カットボール,143km/h,空三振  [ファウルチップ],髙橋 光成,茂木 栄五郎,4-1
1,ストレート,148km/h,見逃し,森原 康平,源田 壮亮,4-1
2,フォーク,138km/h,左安,森原 康平,源田 壮亮,4-1
1,ストレート,147km/h,ボール,森原 康平,森 友哉,4-1
2,ストレート,148km/h,ファウル,森原 康平,森 友哉,4-1
3,スライダー,136km/h,ボール,森原 康平,森 友哉,4-1
4,ストレート,148km/h,二ゴロ  [併殺崩れ],森原 康平,森 友哉,4-1
1,ストレート,149km/h,ボール,森原 康平,山川 穂高,4-1
2,ストレート,150km/h,空振り,森原 康平,山川 穂高,4-1
3,ストレート,149km/h,ボール,森原 康平,山川 穂高,4-1
4,スライダー,139km/h,空振り,森原 康平,山川 穂高,4-1
5,ストレート,146km/h,ボール,森原 康平,山川 穂高,4-1
6,ストレート,149km/h,四球,森原 康平,山川 穂高,4-1
1,スライダー,137km/h,空振り,森原 康平,外崎 修汰,4-1
2,スライダー,135km/h,ボール  [ハーフスイング],森原 康平,外崎 修汰,4-1
3,フォーク,141km/h,空振り,森原 康平,外崎 修汰,4-1
4,スライダー,136km/h,ボール,森原 康平,外崎 修汰,4-1
5,ストレート,149km/h,左安,森原 康平,外崎 修汰,4-1
1,ストレート,148km/h,空振り,森原 康平,中村 剛也,4-1
2,ストレート,146km/h,ファウル,森原 康平,中村 剛也,4-1
3,フォーク,140km/h,ボール,森原 康平,中村 剛也,4-1
4,フォーク,137km/h,ボール  [ワンバウンド],森原 康平,中村 剛也,4-1
5,フォーク,141km/h,空三振,森原 康平,中村 剛也,4-1
1,ストレート,146km/h,空振り,森原 康平,オグレディ,4-1
2,ストレート,147km/h,ボール,森原 康平,オグレディ,4-1
3,ストレート,149km/h,空振り,森原 康平,オグレディ,4-1
4,ストレート,146km/h,空三振,森原 康平,オグレディ,4-1
1,縦スライダー,127km/h,見逃し,髙橋 光成,岡島 豪郎,4-1
2,ストレート,146km/h,ボール,髙橋 光成,岡島 豪郎,4-1
3,カットボール,138km/h,一ゴロ,髙橋 光成,岡島 豪郎,4-1
1,フォーク,139km/h,ボール,髙橋 光成,辰己 涼介,4-1
2,フォーク,138km/h,ボール  [ワンバウンド],髙橋 光成,辰己 涼介,4-1
3,縦スライダー,130km/h,見逃し,髙橋 光成,辰己 涼介,4-1
4,フォーク,139km/h,空振り,髙橋 光成,辰己 涼介,4-1
5,フォーク,140km/h,投ゴロ,髙橋 光成,辰己 涼介,4-1
1,縦スライダー,131km/h,ボール,髙橋 光成,太田 光,4-1
2,ストレート,148km/h,ファウル,髙橋 光成,太田 光,4-1
3,ストレート,149km/h,ボール,髙橋 光成,太田 光,4-1
4,ストレート,146km/h,ボール,髙橋 光成,太田 光,4-1
5,ストレート,147km/h,見逃し,髙橋 光成,太田 光,4-1
6,フォーク,144km/h,見三振,髙橋 光成,太田 光,4-1
1,スライダー,130km/h,ボール,渡邊 佑樹,高木 渉,4-1
2,ストレート,139km/h,ファウル,渡邊 佑樹,高木 渉,4-1
3,スライダー,122km/h,ボール,渡邊 佑樹,高木 渉,4-1
4,スライダー,128km/h,ボール,渡邊 佑樹,高木 渉,4-1
5,ストレート,137km/h,ファウル  [ポール際],渡邊 佑樹,高木 渉,4-1
6,スライダー,132km/h,左邪飛  [泳ぎ],渡邊 佑樹,高木 渉,4-1
1,シュート,137km/h,ボール,渡邊 佑樹,長谷川 信哉,4-1
2,ストレート,139km/h,左飛,渡邊 佑樹,長谷川 信哉,4-1
1,スライダー,130km/h,見逃し,渡邊 佑樹,平沼 翔太,4-1
2,スライダー,124km/h,ファウル,渡邊 佑樹,平沼 翔太,4-1
3,スライダー,125km/h,ファウル,渡邊 佑樹,平沼 翔太,4-1
4,ストレート,137km/h,ボール,渡邊 佑樹,平沼 翔太,4-1
5,スライダー,126km/h,ボール  [ハーフスイング],渡邊 佑樹,平沼 翔太,4-1
6,スライダー,123km/h,ボール,渡邊 佑樹,平沼 翔太,4-1
7,スライダー,130km/h,四球,渡邊 佑樹,平沼 翔太,4-1
1,ストレート,141km/h,ボール,渡邊 佑樹,源田 壮亮,4-1
2,ストレート,138km/h,見逃し,渡邊 佑樹,源田 壮亮,4-1
3,ストレート,138km/h,空振り,渡邊 佑樹,源田 壮亮,4-1
4,スライダー,126km/h,ボール  [ランエンドヒット、ヘッドスライディング],渡邊 佑樹,源田 壮亮,4-1
1,ストレート,141km/h,ボール,渡邊 佑樹,源田 壮亮,4-1
2,ストレート,138km/h,見逃し,渡邊 佑樹,源田 壮亮,4-1
3,ストレート,138km/h,空振り,渡邊 佑樹,源田 壮亮,4-1
4,スライダー,126km/h,ボール  [ランエンドヒット、ヘッドスライディング],渡邊 佑樹,源田 壮亮,4-1
5,スライダー,126km/h,投ゴロ  [泳ぎ、バットの先],渡邊 佑樹,源田 壮亮,4-1
1,ストレート,148km/h,ボール,髙橋 光成,西川 遥輝,4-1
2,カットボール,139km/h,遊ゴロ,髙橋 光成,西川 遥輝,4-1
1,ストレート,147km/h,ボール,髙橋 光成,小深田 大翔,4-1
2,ストレート,149km/h,中飛,髙橋 光成,小深田 大翔,4-1
1,ストレート,151km/h,ファウル,髙橋 光成,浅村 栄斗,4-1
2,ストレート,151km/h,ボール,髙橋 光成,浅村 栄斗,4-1
3,フォーク,140km/h,ボール,髙橋 光成,浅村 栄斗,4-1
4,ストレート,151km/h,ボール,髙橋 光成,浅村 栄斗,4-1
5,フォーク,145km/h,四球,髙橋 光成,浅村 栄斗,4-1
1,カットボール,142km/h,ファウル,髙橋 光成,島内 宏明,4-1
2,縦スライダー,131km/h,ボール,髙橋 光成,島内 宏明,4-1
3,ストレート,149km/h,ボール,髙橋 光成,島内 宏明,4-1
4,ストレート,150km/h,ボール,髙橋 光成,島内 宏明,4-1
5,ストレート,150km/h,見逃し,髙橋 光成,島内 宏明,4-1
6,縦スライダー,133km/h,四球,髙橋 光成,島内 宏明,4-1
1,フォーク,144km/h,ボール,髙橋 光成,銀次,4-1
2,縦スライダー,132km/h,ボール,髙橋 光成,銀次,4-1
3,カットボール,141km/h,ボール  [ワンバウンド],髙橋 光成,銀次,4-1
4,ストレート,150km/h,見逃し,髙橋 光成,銀次,4-1
5,カットボール,142km/h,ファウル,髙橋 光成,銀次,4-1
6,フォーク,143km/h,四球  [ベンチに戻りかける、ベンチに戻りかける],髙橋 光成,銀次,4-1
1,フォーク,142km/h,ボール,髙橋 光成,茂木 栄五郎,4-2
2,フォーク,144km/h,ファウル,髙橋 光成,茂木 栄五郎,4-2
3,ストレート,152km/h,空振り,髙橋 光成,茂木 栄五郎,4-2
4,フォーク,145km/h,ボール,髙橋 光成,茂木 栄五郎,4-2
5,縦スライダー,136km/h,ボール,髙橋 光成,茂木 栄五郎,4-2
6,フォーク,145km/h,ファウル,髙橋 光成,茂木 栄五郎,4-2
7,縦スライダー,138km/h,四球  [ワンバウンド],髙橋 光成,茂木 栄五郎,4-2
1,シュート,144km/h,ボール,佐々木 健,岡島 豪郎,4-4
2,シュート,144km/h,中安,佐々木 健,岡島 豪郎,4-4
1,シュート,143km/h,二ゴロ,佐々木 健,辰己 涼介,4-4
1,チェンジアップ,128km/h,空振り  [ハーフスイング],西口 直人,森 友哉,4-4
2,ストレート,145km/h,ボール,西口 直人,森 友哉,4-4
3,ストレート,148km/h,ボール,西口 直人,森 友哉,4-4
4,フォーク,131km/h,見逃し,西口 直人,森 友哉,4-4
5,ストレート,147km/h,死球,西口 直人,森 友哉,4-4
1,ストレート,145km/h,ファウル,西口 直人,山川 穂高,4-4
2,ストレート,-,ボール  [高めのつり球を要求],西口 直人,山川 穂高,4-4
3,フォーク,135km/h,空振り,西口 直人,山川 穂高,4-4
4,ストレート,145km/h,ボール,西口 直人,山川 穂高,4-4
5,ストレート,146km/h,見三振,西口 直人,山川 穂高,4-4
1,フォーク,135km/h,ボール,西口 直人,外崎 修汰,4-4
2,フォーク,133km/h,見逃し,西口 直人,外崎 修汰,4-4
3,カットボール,139km/h,遊併打,西口 直人,外崎 修汰,4-4
1,カットボール,136km/h,見逃し,水上 由伸,太田 光,4-4
2,ストレート,142km/h,ボール,水上 由伸,太田 光,4-4
3,ストレート,143km/h,見逃し,水上 由伸,太田 光,4-4
4,ストレート,144km/h,ボール,水上 由伸,太田 光,4-4
5,スライダー,130km/h,一邪飛,水上 由伸,太田 光,4-4
1,スライダー,130km/h,見逃し,水上 由伸,西川 遥輝,4-4
2,スライダー,130km/h,ボール,水上 由伸,西川 遥輝,4-4
3,スライダー,131km/h,ボール,水上 由伸,西川 遥輝,4-4
4,シュート,144km/h,見逃し,水上 由伸,西川 遥輝,4-4
5,スライダー,132km/h,空三振,水上 由伸,西川 遥輝,4-4
1,フォーク,136km/h,ボール  [ワンバウンド],水上 由伸,小深田 大翔,4-4
2,スライダー,129km/h,見逃し,水上 由伸,小深田 大翔,4-4
3,フォーク,135km/h,空振り,水上 由伸,小深田 大翔,4-4
4,ストレート,143km/h,ファウル,水上 由伸,小深田 大翔,4-4
5,フォーク,138km/h,二ゴロ  [引っかけ],水上 由伸,小深田 大翔,4-4
1,シンカー,138km/h,見逃し,鈴木 翔天,中村 剛也,4-4
2,スライダー,132km/h,ボール  [ハーフスイング],鈴木 翔天,中村 剛也,4-4
3,スライダー,131km/h,空振り,鈴木 翔天,中村 剛也,4-4
4,ストレート,150km/h,ボール,鈴木 翔天,中村 剛也,4-4
5,ストレート,149km/h,ボール,鈴木 翔天,中村 剛也,4-4
6,スライダー,132km/h,空三振,鈴木 翔天,中村 剛也,4-4
1,スライダー,135km/h,ボール,鈴木 翔天,オグレディ,5-4
2,スライダー,132km/h,ボール,鈴木 翔天,オグレディ,5-4
3,スライダー,132km/h,ファウル,鈴木 翔天,オグレディ,5-4
4,シンカー,143km/h,ファウル,鈴木 翔天,オグレディ,5-4
5,ストレート,150km/h,右中本  [スタンドギリギリ],鈴木 翔天,オグレディ,5-4
1,スライダー,133km/h,空振り  [ワンバウンド],鈴木 翔天,高木 渉,5-4
2,ストレート,150km/h,ファウル,鈴木 翔天,高木 渉,5-4
3,スライダー,134km/h,ボール  [ワンバウンド],鈴木 翔天,高木 渉,5-4
4,スライダー,133km/h,ボール,鈴木 翔天,高木 渉,5-4
5,シンカー,142km/h,中飛  [泳ぎ],鈴木 翔天,高木 渉,5-4
1,シンカー,139km/h,ボール,鈴木 翔天,長谷川 信哉,5-4
2,スライダー,133km/h,見逃し,鈴木 翔天,長谷川 信哉,5-4
3,シンカー,140km/h,ファウル,鈴木 翔天,長谷川 信哉,5-4
4,ストレート,149km/h,ファウル,鈴木 翔天,長谷川 信哉,5-4
5,シンカー,143km/h,ファウル,鈴木 翔天,長谷川 信哉,5-4
6,スライダー,133km/h,ボール,鈴木 翔天,長谷川 信哉,5-4
7,スライダー,134km/h,空三振  [ハーフスイング],鈴木 翔天,長谷川 信哉,5-4
1,ストレート,153km/h,見逃し,平良 海馬,浅村 栄斗,5-4
2,スライダー,133km/h,見逃し,平良 海馬,浅村 栄斗,5-4
3,ストレート,153km/h,ボール,平良 海馬,浅村 栄斗,5-4
4,フォーク,138km/h,ボール  [ワンバウンド],平良 海馬,浅村 栄斗,5-4
5,ストレート,152km/h,ボール,平良 海馬,浅村 栄斗,5-4
6,スライダー,135km/h,空三振,平良 海馬,浅村 栄斗,5-4
1,スライダー,132km/h,ファウル,平良 海馬,島内 宏明,5-4
2,フォーク,138km/h,ボール,平良 海馬,島内 宏明,5-4
3,ストレート,153km/h,右飛,平良 海馬,島内 宏明,5-4
1,ストレート,151km/h,ボール,平良 海馬,銀次,5-4
2,カットボール,145km/h,見逃し,平良 海馬,銀次,5-4
3,カットボール,145km/h,三ゴロ,平良 海馬,銀次,5-4
1,ストレート,142km/h,見逃し,酒居 知史,平沼 翔太,5-4
2,ストレート,138km/h,空振り,酒居 知史,平沼 翔太,5-4
3,フォーク,130km/h,ボール,酒居 知史,平沼 翔太,5-4
4,フォーク,134km/h,二ゴロ,酒居 知史,平沼 翔太,5-4
1,スライダー,130km/h,ファウル,酒居 知史,源田 壮亮,5-4
2,ストレート,143km/h,ボール,酒居 知史,源田 壮亮,5-4
3,スライダー,130km/h,二安  [詰り、グラブ弾く],酒居 知史,源田 壮亮,5-4
1,ストレート,142km/h,ボール,酒居 知史,森 友哉,6-4
2,スライダー,130km/h,見逃し,酒居 知史,森 友哉,6-4
3,ストレート,142km/h,ボール,酒居 知史,森 友哉,6-4
4,フォーク,132km/h,ファウル,酒居 知史,森 友哉,6-4
5,ストレート,142km/h,ボール,酒居 知史,森 友哉,6-4
6,フォーク,132km/h,中２  [ランエンドヒット],酒居 知史,森 友哉,6-4
1,ストレート,141km/h,ボール,酒居 知史,山川 穂高,8-4
2,ストレート,141km/h,ボール,酒居 知史,山川 穂高,8-4
3,ストレート,141km/h,ファウル  [投球が打者の後ろを通過],酒居 知史,山川 穂高,8-4
4,フォーク,133km/h,左本  [本塁打確信、スタンド中段],酒居 知史,山川 穂高,8-4
1,スライダー,130km/h,見逃し,酒居 知史,外崎 修汰,8-4
2,カーブ,114km/h,見逃し,酒居 知史,外崎 修汰,8-4
3,スライダー,131km/h,遊ゴロ,酒居 知史,外崎 修汰,8-4
1,スライダー,131km/h,空振り,酒居 知史,中村 剛也,8-4
2,ストレート,139km/h,ボール,酒居 知史,中村 剛也,8-4
3,ストレート,139km/h,見逃し,酒居 知史,中村 剛也,8-4
4,スライダー,130km/h,ボール,酒居 知史,中村 剛也,8-4
5,ストレート,141km/h,ファウル,酒居 知史,中村 剛也,8-4
6,ストレート,138km/h,三失  [イレギュラー],酒居 知史,中村 剛也,8-4
1,スライダー,131km/h,見逃し,酒居 知史,熊代 聖人,8-4
2,スライダー,129km/h,ボール,酒居 知史,熊代 聖人,8-4
3,フォーク,133km/h,見逃し,酒居 知史,熊代 聖人,8-4
4,スライダー,132km/h,右安  [ランエンドヒット、バットの先、バット折れる],酒居 知史,熊代 聖人,8-4
1,ストレート,141km/h,見逃し,酒居 知史,高木 渉,8-4
2,ストレート,140km/h,ファウル,酒居 知史,高木 渉,8-4
3,ストレート,142km/h,遊直,酒居 知史,高木 渉,8-4
1,ナックルカーブ,116km/h,見逃し,森脇 亮介,茂木 栄五郎,8-4
2,ストレート,142km/h,ボール,森脇 亮介,茂木 栄五郎,8-4
3,ナックルカーブ,119km/h,ボール  [ワンバウンド],森脇 亮介,茂木 栄五郎,8-4
4,フォーク,129km/h,見逃し,森脇 亮介,茂木 栄五郎,8-4
5,ストレート,140km/h,ファウル,森脇 亮介,茂木 栄五郎,8-4
6,ストレート,144km/h,ボール,森脇 亮介,茂木 栄五郎,8-4
7,ストレート,144km/h,ファウル,森脇 亮介,茂木 栄五郎,8-4
8,フォーク,128km/h,右２  [好走塁],森脇 亮介,茂木 栄五郎,8-4
1,ストレート,143km/h,ファウル,森脇 亮介,岡島 豪郎,8-4
2,カットボール,129km/h,ファウル  [止めたバットに当たる],森脇 亮介,岡島 豪郎,8-4
3,カットボール,130km/h,ボール,森脇 亮介,岡島 豪郎,8-4
4,フォーク,130km/h,空三振  [ワンバウンド],森脇 亮介,岡島 豪郎,8-4
1,ナックルカーブ,119km/h,ボール,森脇 亮介,辰己 涼介,8-4
2,ナックルカーブ,120km/h,一ゴロ,森脇 亮介,辰己 涼介,8-4
1,カットボール,129km/h,見逃し,森脇 亮介,田中 貴也,8-4
2,ストレート,138km/h,ボール,森脇 亮介,田中 貴也,8-4
3,ナックルカーブ,119km/h,ボール,森脇 亮介,田中 貴也,8-4
4,フォーク,131km/h,空振り,森脇 亮介,田中 貴也,8-4
5,ストレート,146km/h,空三振,森脇 亮介,田中 貴也,8-4
1,縦スライダー,126km/h,見逃し,山岡 泰輔,荻野 貴司,0-0
2,ストレート,-,ボール,山岡 泰輔,荻野 貴司,0-0
3,ストレート,-,見逃し,山岡 泰輔,荻野 貴司,0-0
4,縦スライダー,-,ファウル,山岡 泰輔,荻野 貴司,0-0
5,カットボール,-,三失,山岡 泰輔,荻野 貴司,0-0
1,ストレート,-,ファウル  [セーフティバント、バントファウル],山岡 泰輔,髙部 瑛斗,0-0
2,チェンジアップ,-,二ゴロ  [逆シングル、併殺崩れ],山岡 泰輔,髙部 瑛斗,0-0
1,ストレート,146km/h,ファウル,山岡 泰輔,中村 奨吾,0-0
2,カットボール,141km/h,見逃し,山岡 泰輔,中村 奨吾,0-0
3,ストレート,140km/h,中飛,山岡 泰輔,中村 奨吾,0-0
1,ストレート,146km/h,ボール,山岡 泰輔,安田 尚憲,0-0
1,ストレート,146km/h,ボール,山岡 泰輔,安田 尚憲,0-0
2,縦スライダー,131km/h,見逃し,山岡 泰輔,安田 尚憲,0-0
3,カットボール,141km/h,ボール  [ワンバウンド、ハーフスイング],山岡 泰輔,安田 尚憲,0-0
4,縦スライダー,132km/h,空振り,山岡 泰輔,安田 尚憲,0-0
5,縦スライダー,134km/h,ボール  [ワンバウンド、ハーフスイング],山岡 泰輔,安田 尚憲,0-0
6,縦スライダー,134km/h,ファウル,山岡 泰輔,安田 尚憲,0-0
7,縦スライダー,132km/h,空三振  [ワンバウンド],山岡 泰輔,安田 尚憲,0-0
1,フォーク,130km/h,空振り,二木 康太,野口 智哉,0-0
