投球数,球種,球速,結果,投手,打者,スコア
5,チェンジアップ,133km/h,ファウル,坂本 裕哉,鵜飼 航丞,0-3
6,チェンジアップ,134km/h,ファウル,坂本 裕哉,鵜飼 航丞,0-3
7,ストレート,145km/h,ファウル,坂本 裕哉,鵜飼 航丞,0-3
8,カットボール,133km/h,ファウル,坂本 裕哉,鵜飼 航丞,0-3
9,ストレート,146km/h,ファウル,坂本 裕哉,鵜飼 航丞,0-3
10,ストレート,145km/h,ファウル,坂本 裕哉,鵜飼 航丞,0-3
11,チェンジアップ,135km/h,四球,坂本 裕哉,鵜飼 航丞,0-3
1,ストレート,144km/h,見逃し,坂本 裕哉,岡林 勇希,0-3
2,ストレート,144km/h,ボール,坂本 裕哉,岡林 勇希,0-3
3,カットボール,132km/h,空振り,坂本 裕哉,岡林 勇希,0-3
4,カットボール,133km/h,ボール,坂本 裕哉,岡林 勇希,0-3
5,カットボール,133km/h,空三振,坂本 裕哉,岡林 勇希,0-3
1,カーブ,116km/h,一ゴロ  [逆シングル],福谷 浩司,倉本 寿彦,0-3
1,カーブ,113km/h,見逃し,福谷 浩司,柴田 竜拓,0-3
2,チェンジアップ,129km/h,ファウル,福谷 浩司,柴田 竜拓,0-3
3,フォーク,138km/h,ボール,福谷 浩司,柴田 竜拓,0-3
4,ストレート,145km/h,遊直  [野手の正面をつく],福谷 浩司,柴田 竜拓,0-3
1,ストレート,146km/h,見逃し,福谷 浩司,坂本 裕哉,0-3
2,スライダー,131km/h,見逃し,福谷 浩司,坂本 裕哉,0-3
3,フォーク,138km/h,ファウル,福谷 浩司,坂本 裕哉,0-3
4,ストレート,146km/h,ボール,福谷 浩司,坂本 裕哉,0-3
5,スライダー,131km/h,空三振,福谷 浩司,坂本 裕哉,0-3
1,ストレート,144km/h,ボール,坂本 裕哉,郡司 裕也,0-3
2,ツーシーム,143km/h,見逃し,坂本 裕哉,郡司 裕也,0-3
3,カットボール,134km/h,ボール  [ワンバウンド],坂本 裕哉,郡司 裕也,0-3
4,ストレート,144km/h,ファウル,坂本 裕哉,郡司 裕也,0-3
5,ストレート,144km/h,ボール,坂本 裕哉,郡司 裕也,0-3
6,ストレート,-,四球  [すっぽ抜け],坂本 裕哉,郡司 裕也,0-3
1,スライダー,121km/h,見逃し,坂本 裕哉,ビシエド,0-3
2,ストレート,143km/h,中飛,坂本 裕哉,ビシエド,0-3
1,ツーシーム,142km/h,ボール,坂本 裕哉,阿部 寿樹,0-3
2,カーブ,119km/h,見逃し,坂本 裕哉,阿部 寿樹,0-3
3,チェンジアップ,131km/h,ファウル,坂本 裕哉,阿部 寿樹,0-3
4,ストレート,142km/h,ファウル,坂本 裕哉,阿部 寿樹,0-3
5,チェンジアップ,133km/h,ファウル,坂本 裕哉,阿部 寿樹,0-3
6,ストレート,143km/h,空三振,坂本 裕哉,阿部 寿樹,0-3
1,ストレート,143km/h,ファウル,坂本 裕哉,石川 昂弥,0-3
2,スライダー,122km/h,見逃し,坂本 裕哉,石川 昂弥,0-3
3,チェンジアップ,132km/h,空三振  [投手ガッツポーズ],坂本 裕哉,石川 昂弥,0-3
1,カーブ,112km/h,見逃し,福谷 浩司,楠本 泰史,0-3
2,フォーク,132km/h,ボール,福谷 浩司,楠本 泰史,0-3
3,スライダー,132km/h,一ゴロ,福谷 浩司,楠本 泰史,0-3
1,ツーシーム,146km/h,ボール,福谷 浩司,神里 和毅,0-3
2,スライダー,133km/h,ファウル,福谷 浩司,神里 和毅,0-3
3,スライダー,133km/h,ボール  [ワンバウンド],福谷 浩司,神里 和毅,0-3
4,ツーシーム,144km/h,ファウル  [ライン際],福谷 浩司,神里 和毅,0-3
5,スライダー,133km/h,ファウル,福谷 浩司,神里 和毅,0-3
6,ストレート,147km/h,ファウル,福谷 浩司,神里 和毅,0-3
7,チェンジアップ,133km/h,見三振  [全く反応できず],福谷 浩司,神里 和毅,0-3
1,ストレート,145km/h,ボール,福谷 浩司,佐野 恵太,0-3
2,カーブ,115km/h,ボール,福谷 浩司,佐野 恵太,0-3
3,スライダー,131km/h,一邪飛,福谷 浩司,佐野 恵太,0-3
1,ストレート,142km/h,ボール,坂本 裕哉,木下 拓哉,0-3
2,ストレート,141km/h,ファウル,坂本 裕哉,木下 拓哉,0-3
3,スライダー,122km/h,左安,坂本 裕哉,木下 拓哉,0-3
1,ストレート,138km/h,左２  [フェンス直撃],坂本 裕哉,三ツ俣 大樹,0-3
1,カットボール,130km/h,遊ゴロ  [内野定位置、逆シングル、送球がバウンド],坂本 裕哉,福谷 浩司,1-3
1,チェンジアップ,129km/h,空振り,坂本 裕哉,鵜飼 航丞,1-3
2,チェンジアップ,131km/h,三ゴロ  [走者動けず],坂本 裕哉,鵜飼 航丞,1-3
1,カットボール,132km/h,ボール,坂本 裕哉,岡林 勇希,1-3
2,カットボール,132km/h,二ゴロ,坂本 裕哉,岡林 勇希,1-3
1,カーブ,115km/h,ファウル,福谷 浩司,牧 秀悟,1-3
2,ストレート,146km/h,ボール,福谷 浩司,牧 秀悟,1-3
3,スライダー,131km/h,二ゴロ,福谷 浩司,牧 秀悟,1-3
1,カーブ,111km/h,空振り,福谷 浩司,ソト,1-3
2,ストレート,146km/h,ボール,福谷 浩司,ソト,1-3
3,フォーク,130km/h,空振り  [ファウルチップ],福谷 浩司,ソト,1-3
4,スライダー,129km/h,ボール,福谷 浩司,ソト,1-3
5,スライダー,131km/h,ボール,福谷 浩司,ソト,1-3
6,チェンジアップ,132km/h,左２  [ライン際],福谷 浩司,ソト,1-3
1,チェンジアップ,131km/h,二安  [ダイビングキャッチ、送球できず],福谷 浩司,戸柱 恭孝,1-3
1,ストレート,146km/h,ボール,福谷 浩司,倉本 寿彦,1-4
2,フォーク,130km/h,ファウル  [自打球],福谷 浩司,倉本 寿彦,1-4
3,フォーク,131km/h,ファウル  [打球がカメラマン席に入る],福谷 浩司,倉本 寿彦,1-4
4,ストレート,146km/h,ボール,福谷 浩司,倉本 寿彦,1-4
5,スライダー,131km/h,ファウル,福谷 浩司,倉本 寿彦,1-4
6,フォーク,132km/h,ファウル,福谷 浩司,倉本 寿彦,1-4
7,フォーク,133km/h,右安,福谷 浩司,倉本 寿彦,1-4
1,ストレート,145km/h,見逃し,福谷 浩司,柴田 竜拓,1-4
2,チェンジアップ,131km/h,右安,福谷 浩司,柴田 竜拓,1-4
1,スライダー,128km/h,左安  [采配的中],福谷 浩司,藤田 一也,1-5
1,ストレート,147km/h,二飛  [内野中間守備、詰り、バット折れる、インフィールドフライ],福谷 浩司,楠本 泰史,1-5
1,ストレート,148km/h,ボール,福谷 浩司,神里 和毅,1-5
2,ストレート,148km/h,ファウル,福谷 浩司,神里 和毅,1-5
3,ストレート,146km/h,ボール,福谷 浩司,神里 和毅,1-5
4,スライダー,130km/h,見逃し,福谷 浩司,神里 和毅,1-5
5,ストレート,147km/h,ファウル,福谷 浩司,神里 和毅,1-5
6,ストレート,147km/h,二ゴロ,福谷 浩司,神里 和毅,1-5
1,スライダー,131km/h,見逃し,平田 真吾,郡司 裕也,1-5
2,スライダー,131km/h,見逃し,平田 真吾,郡司 裕也,1-5
3,スライダー,130km/h,ファウル,平田 真吾,郡司 裕也,1-5
4,ストレート,147km/h,ボール,平田 真吾,郡司 裕也,1-5
5,ツーシーム,144km/h,ファウル,平田 真吾,郡司 裕也,1-5
6,スライダー,132km/h,ボール,平田 真吾,郡司 裕也,1-5
7,ツーシーム,145km/h,ファウル,平田 真吾,郡司 裕也,1-5
8,スライダー,131km/h,空三振  [ファウルチップ],平田 真吾,郡司 裕也,1-5
1,カーブ,111km/h,ボール,平田 真吾,ビシエド,1-5
2,ツーシーム,143km/h,右飛,平田 真吾,ビシエド,1-5
1,ストレート,148km/h,ボール,平田 真吾,阿部 寿樹,1-5
2,スライダー,129km/h,ファウル,平田 真吾,阿部 寿樹,1-5
3,ツーシーム,146km/h,ボール  [ワンバウンド],平田 真吾,阿部 寿樹,1-5
4,ツーシーム,145km/h,遊飛  [詰り、バット折れる],平田 真吾,阿部 寿樹,1-5
1,ツーシーム,147km/h,見逃し,福谷 浩司,佐野 恵太,1-5
2,ストレート,146km/h,左安,福谷 浩司,佐野 恵太,1-5
1,ストレート,145km/h,ボール,福谷 浩司,牧 秀悟,1-6
2,スライダー,131km/h,空振り,福谷 浩司,牧 秀悟,1-6
3,スライダー,131km/h,ファウル,福谷 浩司,牧 秀悟,1-6
4,チェンジアップ,133km/h,ボール  [ハーフスイング],福谷 浩司,牧 秀悟,1-6
5,フォーク,135km/h,ボール  [ワンバウンド],福谷 浩司,牧 秀悟,1-6
6,スライダー,130km/h,ファウル  [ランエンドヒット],福谷 浩司,牧 秀悟,1-6
7,ストレート,145km/h,中２  [ランエンドヒット、送球間に進塁],福谷 浩司,牧 秀悟,1-6
1,ストレート,147km/h,ボール,福谷 浩司,ソト,1-7
2,カーブ,113km/h,ボール,福谷 浩司,ソト,1-7
3,スライダー,132km/h,ファウル,福谷 浩司,ソト,1-7
4,フォーク,133km/h,右安  [バットの先、高々と舞い上がる、打球が風に流される、挟まれる],福谷 浩司,ソト,1-7
1,ストレート,146km/h,中飛  [フェンスギリギリ、ジャンピングキャッチ、フェンス激突、好プレイ、リプレー検証後判定変わらず],福谷 浩司,戸柱 恭孝,1-7
1,ストレート,145km/h,ファウル,福谷 浩司,倉本 寿彦,1-7
2,スライダー,130km/h,見逃し,福谷 浩司,倉本 寿彦,1-7
3,ストレート,144km/h,ファウル,福谷 浩司,倉本 寿彦,1-7
4,スライダー,129km/h,ボール,福谷 浩司,倉本 寿彦,1-7
5,ストレート,143km/h,ファウル  [ライン際],福谷 浩司,倉本 寿彦,1-7
6,チェンジアップ,134km/h,一ゴロ  [バットの先],福谷 浩司,倉本 寿彦,1-7
1,スライダー,130km/h,見逃し,平田 真吾,石川 昂弥,1-7
2,フォーク,132km/h,ボール  [ワンバウンド],平田 真吾,石川 昂弥,1-7
3,ツーシーム,142km/h,中安,平田 真吾,石川 昂弥,1-7
1,ツーシーム,145km/h,見逃し,平田 真吾,木下 拓哉,1-7
2,ツーシーム,144km/h,右安  [逆をつかれる],平田 真吾,木下 拓哉,1-7
1,スライダー,133km/h,ボール,平田 真吾,三ツ俣 大樹,1-7
2,ツーシーム,141km/h,見逃し,平田 真吾,三ツ俣 大樹,1-7
3,スライダー,132km/h,ボール,平田 真吾,三ツ俣 大樹,1-7
4,ツーシーム,144km/h,ファウル,平田 真吾,三ツ俣 大樹,1-7
5,ツーシーム,146km/h,ファウル,平田 真吾,三ツ俣 大樹,1-7
6,ツーシーム,144km/h,ボール,平田 真吾,三ツ俣 大樹,1-7
7,カットボール,140km/h,空三振  [悔しがる],平田 真吾,三ツ俣 大樹,1-7
1,ツーシーム,143km/h,中飛  [走者動けず],平田 真吾,高橋 周平,1-7
1,スライダー,132km/h,ファウル,平田 真吾,鵜飼 航丞,1-7
2,カットボール,142km/h,空振り  [ハーフスイング],平田 真吾,鵜飼 航丞,1-7
3,フォーク,136km/h,逸振逃,平田 真吾,鵜飼 航丞,1-7
1,ストレート,139km/h,見逃し,砂田 毅樹,岡林 勇希,1-7
2,ストレート,139km/h,ボール,砂田 毅樹,岡林 勇希,1-7
3,スライダー,122km/h,見逃し,砂田 毅樹,岡林 勇希,1-7
4,スライダー,124km/h,右飛,砂田 毅樹,岡林 勇希,1-7
1,スプリット,141km/h,ファウル,藤嶋 健人,柴田 竜拓,1-7
2,ナックルカーブ,129km/h,ボール  [ハーフスイング],藤嶋 健人,柴田 竜拓,1-7
3,ストレート,141km/h,ボール,藤嶋 健人,柴田 竜拓,1-7
4,ストレート,140km/h,ボール,藤嶋 健人,柴田 竜拓,1-7
5,ストレート,140km/h,見逃し  [一塁へ歩きかける],藤嶋 健人,柴田 竜拓,1-7
6,スプリット,137km/h,二ゴロ,藤嶋 健人,柴田 竜拓,1-7
1,スプリット,136km/h,見逃し,藤嶋 健人,桑原 将志,1-7
2,ナックルカーブ,118km/h,空振り  [ワンバウンド、ハーフスイング],藤嶋 健人,桑原 将志,1-7
3,ストレート,142km/h,ボール,藤嶋 健人,桑原 将志,1-7
4,ストレート,143km/h,一直  [痛烈な当たり、ジャンピングキャッチ、好プレイ],藤嶋 健人,桑原 将志,1-7
1,ナックルカーブ,119km/h,見逃し,藤嶋 健人,楠本 泰史,1-7
2,スプリット,136km/h,ボール  [ワンバウンド],藤嶋 健人,楠本 泰史,1-7
3,スライダー,131km/h,遊飛,藤嶋 健人,楠本 泰史,1-7
1,ストレート,153km/h,見逃し,入江 大生,郡司 裕也,1-7
2,ストレート,154km/h,ボール,入江 大生,郡司 裕也,1-7
3,ストレート,152km/h,ボール,入江 大生,郡司 裕也,1-7
4,スライダー,135km/h,二安  [ダイビングキャッチ、送球が逸れる],入江 大生,郡司 裕也,1-7
1,ストレート,152km/h,見逃し,入江 大生,ビシエド,1-7
2,ストレート,151km/h,ファウル  [高めのつり球を要求],入江 大生,ビシエド,1-7
3,フォーク,140km/h,ファウル,入江 大生,ビシエド,1-7
4,スライダー,135km/h,ボール,入江 大生,ビシエド,1-7
5,ストレート,151km/h,ボール,入江 大生,ビシエド,1-7
6,ツーシーム,140km/h,空三振,入江 大生,ビシエド,1-7
1,スライダー,134km/h,ボール,入江 大生,阿部 寿樹,1-7
2,ストレート,152km/h,空振り,入江 大生,阿部 寿樹,1-7
3,ストレート,151km/h,見逃し,入江 大生,阿部 寿樹,1-7
4,フォーク,142km/h,空三振,入江 大生,阿部 寿樹,1-7
1,ストレート,151km/h,ボール  [ハーフスイング],入江 大生,石川 昂弥,1-7
2,スライダー,134km/h,見逃し,入江 大生,石川 昂弥,1-7
3,スライダー,132km/h,空振り,入江 大生,石川 昂弥,1-7
4,ストレート,152km/h,見三振  [構えたところにズバリ、全く反応できず],入江 大生,石川 昂弥,1-7
1,ストレート,146km/h,見逃し,森 博人,神里 和毅,1-7
2,ツーシーム,144km/h,遊安  [ダイビングキャッチ、送球できず],森 博人,神里 和毅,1-7
1,ストレート,146km/h,ボール,森 博人,関根 大気,1-7
2,カットボール,145km/h,二ゴロ  [送球がバウンド],森 博人,関根 大気,1-7
1,ストレート,146km/h,ファウル,森 博人,牧 秀悟,1-7
2,ストレート,146km/h,ボール,森 博人,牧 秀悟,1-7
3,カットボール,138km/h,見逃し,森 博人,牧 秀悟,1-7
4,ストレート,146km/h,ファウル,森 博人,牧 秀悟,1-7
5,ストレート,148km/h,ファウル,森 博人,牧 秀悟,1-7
6,カットボール,139km/h,ボール,森 博人,牧 秀悟,1-7
7,スライダー,124km/h,ボール  [ワンバウンド],森 博人,牧 秀悟,1-7
8,ストレート,145km/h,三ゴロ  [引っかけ、バウンド高い、ランニングスロー],森 博人,牧 秀悟,1-7
1,カーブ,121km/h,ボール,森 博人,ソト,1-7
2,カットボール,137km/h,ボール,森 博人,ソト,1-7
3,カットボール,136km/h,ボール,森 博人,ソト,1-7
4,ストレート,145km/h,見逃し  [一塁へ歩きかける],森 博人,ソト,1-7
5,カットボール,137km/h,ファウル  [審判悶絶],森 博人,ソト,1-7
6,ストレート,146km/h,ファウル,森 博人,ソト,1-7
7,ストレート,147km/h,空三振,森 博人,ソト,1-7
1,ストレート,151km/h,二飛  [詰り],入江 大生,石橋 康太,1-7
1,ストレート,151km/h,見逃し,入江 大生,三ツ俣 大樹,1-7
2,ツーシーム,141km/h,ボール  [ワンバウンド],入江 大生,三ツ俣 大樹,1-7
3,スライダー,132km/h,ファウル,入江 大生,三ツ俣 大樹,1-7
4,ストレート,152km/h,ファウル,入江 大生,三ツ俣 大樹,1-7
5,ストレート,151km/h,ボール,入江 大生,三ツ俣 大樹,1-7
6,スライダー,134km/h,ボール,入江 大生,三ツ俣 大樹,1-7
7,ストレート,150km/h,見三振,入江 大生,三ツ俣 大樹,1-7
1,フォーク,138km/h,投ゴロ  [止めたバットに当たる],入江 大生,A.マルティネス,1-7
1,カットボール,136km/h,ボール,森 博人,戸柱 恭孝,1-8
2,カットボール,138km/h,空振り  [ワンバウンド],森 博人,戸柱 恭孝,1-8
3,ストレート,145km/h,ファウル,森 博人,戸柱 恭孝,1-8
4,ストレート,145km/h,ファウル,森 博人,戸柱 恭孝,1-8
5,ツーシーム,140km/h,ファウル,森 博人,戸柱 恭孝,1-8
6,ストレート,144km/h,ファウル,森 博人,戸柱 恭孝,1-8
7,カットボール,140km/h,ボール  [ワンバウンド],森 博人,戸柱 恭孝,1-8
8,ストレート,145km/h,ファウル,森 博人,戸柱 恭孝,1-8
9,カットボール,138km/h,ボール,森 博人,戸柱 恭孝,1-8
10,ストレート,144km/h,ファウル,森 博人,戸柱 恭孝,1-8
11,ストレート,144km/h,ファウル,森 博人,戸柱 恭孝,1-8
12,ストレート,143km/h,右本  [ポール際、スタンドギリギリ],森 博人,戸柱 恭孝,1-8
1,カットボール,140km/h,中本  [バックスクリーン、スタンドギリギリ],森 博人,倉本 寿彦,1-9
1,ストレート,146km/h,ボール,森 博人,柴田 竜拓,1-9
2,ストレート,145km/h,ファウル,森 博人,柴田 竜拓,1-9
3,カットボール,137km/h,見逃し,森 博人,柴田 竜拓,1-9
4,ツーシーム,143km/h,ファウル,森 博人,柴田 竜拓,1-9
5,スライダー,123km/h,ボール  [ワンバウンド],森 博人,柴田 竜拓,1-9
6,ストレート,144km/h,ファウル,森 博人,柴田 竜拓,1-9
7,ストレート,144km/h,左飛  [ライン際、スライディングキャッチ],森 博人,柴田 竜拓,1-9
1,ストレート,147km/h,見逃し,森 博人,桑原 将志,1-9
2,ストレート,147km/h,ファウル,森 博人,桑原 将志,1-9
3,カットボール,139km/h,ファウル  [止めたバットに当たる],森 博人,桑原 将志,1-9
4,カットボール,137km/h,ボール,森 博人,桑原 将志,1-9
5,スライダー,127km/h,遊飛,森 博人,桑原 将志,1-9
1,ツーシーム,140km/h,ボール,森 博人,宮本 秀明,1-10
2,ツーシーム,143km/h,空振り,森 博人,宮本 秀明,1-10
3,ストレート,144km/h,ボール,森 博人,宮本 秀明,1-10
4,ストレート,143km/h,右本  [スタンドギリギリ],森 博人,宮本 秀明,1-10
1,カットボール,137km/h,見逃し,森 博人,神里 和毅,1-10
2,カーブ,120km/h,ボール,森 博人,神里 和毅,1-10
3,カットボール,137km/h,一ゴロ,森 博人,神里 和毅,1-10
1,ストレート,141km/h,右３  [フェンス激突],宮國 椋丞,鵜飼 航丞,1-10
1,ストレート,142km/h,見逃し,宮國 椋丞,岡林 勇希,2-10
2,スライダー,122km/h,ボール,宮國 椋丞,岡林 勇希,2-10
3,スライダー,121km/h,ファウル,宮國 椋丞,岡林 勇希,2-10
4,フォーク,131km/h,ボール,宮國 椋丞,岡林 勇希,2-10
5,フォーク,129km/h,二ゴロ  [内野定位置],宮國 椋丞,岡林 勇希,2-10
1,シュート,138km/h,ボール,宮國 椋丞,郡司 裕也,2-10
2,ストレート,143km/h,見逃し,宮國 椋丞,郡司 裕也,2-10
3,カーブ,110km/h,ボール,宮國 椋丞,郡司 裕也,2-10
4,ストレート,142km/h,ファウル,宮國 椋丞,郡司 裕也,2-10
5,スライダー,122km/h,投ゴロ  [泳ぎ、バットの先],宮國 椋丞,郡司 裕也,2-10
1,スライダー,120km/h,ファウル,宮國 椋丞,加藤 翔平,2-10
2,カットボール,132km/h,空振り  [ファウルチップ],宮國 椋丞,加藤 翔平,2-10
3,フォーク,132km/h,ボール,宮國 椋丞,加藤 翔平,2-10
4,ストレート,140km/h,ボール,宮國 椋丞,加藤 翔平,2-10
5,フォーク,132km/h,ボール  [ワンバウンド],宮國 椋丞,加藤 翔平,2-10
6,スライダー,124km/h,ファウル,宮國 椋丞,加藤 翔平,2-10
7,ストレート,141km/h,中飛,宮國 椋丞,加藤 翔平,2-10
1,ストレート,144km/h,ファウル,ガンケル,塩見 泰隆,0-0
2,カットボール,134km/h,遊失,ガンケル,塩見 泰隆,0-0
1,ツーシーム,-,見逃し,ガンケル,青木 宣親,0-0
2,スプリット,135km/h,ファウル,ガンケル,青木 宣親,0-0
3,ストレート,-,ファウル,ガンケル,青木 宣親,0-0
4,スライダー,128km/h,ボール  [ランエンドヒット、ワンバウンド、送球できず],ガンケル,青木 宣親,0-0
1,ツーシーム,-,見逃し,ガンケル,青木 宣親,0-0
2,スプリット,135km/h,ファウル,ガンケル,青木 宣親,0-0
3,ストレート,-,ファウル,ガンケル,青木 宣親,0-0
4,スライダー,128km/h,ボール  [ランエンドヒット、ワンバウンド、送球できず],ガンケル,青木 宣親,0-0
5,スプリット,136km/h,一ゴロ,ガンケル,青木 宣親,0-0
1,ストレート,145km/h,見逃し,ガンケル,山田 哲人,1-0
2,スライダー,127km/h,ボール,ガンケル,山田 哲人,1-0
3,ツーシーム,145km/h,左犠飛,ガンケル,山田 哲人,1-0
1,スプリット,135km/h,空振り,ガンケル,村上 宗隆,1-0
2,カットボール,137km/h,空振り,ガンケル,村上 宗隆,1-0
3,スプリット,136km/h,ボール,ガンケル,村上 宗隆,1-0
4,カットボール,137km/h,ファウル,ガンケル,村上 宗隆,1-0
5,ストレート,147km/h,ファウル,ガンケル,村上 宗隆,1-0
6,ストレート,146km/h,ファウル,ガンケル,村上 宗隆,1-0
7,スライダー,132km/h,ボール  [ワンバウンド],ガンケル,村上 宗隆,1-0
8,ストレート,-,ボール  [ハーフスイング],ガンケル,村上 宗隆,1-0
9,スライダー,132km/h,空三振,ガンケル,村上 宗隆,1-0
1,ストレート,-,遊直  [痛烈な当たり、野手の正面をつく],高梨 裕稔,近本 光司,1-0
1,ストレート,146km/h,見逃し,高梨 裕稔,中野 拓夢,1-0
2,ストレート,145km/h,ボール,高梨 裕稔,中野 拓夢,1-0
3,ストレート,146km/h,ボール,高梨 裕稔,中野 拓夢,1-0
4,ストレート,145km/h,見逃し,高梨 裕稔,中野 拓夢,1-0
5,ストレート,147km/h,ファウル,高梨 裕稔,中野 拓夢,1-0
6,カーブ,115km/h,ファウル,高梨 裕稔,中野 拓夢,1-0
7,ストレート,145km/h,ファウル,高梨 裕稔,中野 拓夢,1-0
8,フォーク,-,二ゴロ  [バットの先、引っかけ],高梨 裕稔,中野 拓夢,1-0
1,カーブ,113km/h,中飛,高梨 裕稔,佐藤 輝明,1-0
1,ツーシーム,144km/h,ボール,ガンケル,オスナ,1-0
2,スライダー,129km/h,見逃し,ガンケル,オスナ,1-0
3,ストレート,145km/h,ファウル,ガンケル,オスナ,1-0
4,ストレート,146km/h,中飛  [痛烈な当たり],ガンケル,オスナ,1-0
1,スプリット,137km/h,ボール,ガンケル,宮本 丈,1-0
2,スプリット,136km/h,遊ゴロ  [バウンド高い、ランニングスロー],ガンケル,宮本 丈,1-0
1,カットボール,135km/h,ボール,ガンケル,中村 悠平,1-0
2,カットボール,-,見逃し,ガンケル,中村 悠平,1-0
3,ストレート,144km/h,ボール,ガンケル,中村 悠平,1-0
4,ストレート,145km/h,遊ゴロ,ガンケル,中村 悠平,1-0
1,ストレート,144km/h,ボール,高梨 裕稔,大山 悠輔,1-0
2,ストレート,143km/h,ボール,高梨 裕稔,大山 悠輔,1-0
3,カーブ,112km/h,ボール,高梨 裕稔,大山 悠輔,1-0
4,ストレート,143km/h,ファウル  [ポール際、観客どよめく],高梨 裕稔,大山 悠輔,1-0
5,ストレート,146km/h,四球,高梨 裕稔,大山 悠輔,1-0
1,カーブ,115km/h,見逃し,高梨 裕稔,ロハス・ジュニア,1-0
2,ストレート,144km/h,ボール,高梨 裕稔,ロハス・ジュニア,1-0
