投球数,球種,球速,結果,投手,打者,スコア
1,ストレート,143km/h,空振り,坂本 裕哉,鵜飼 航丞,0-0
2,チェンジアップ,129km/h,ボール,坂本 裕哉,鵜飼 航丞,0-0
3,ツーシーム,141km/h,ボール,坂本 裕哉,鵜飼 航丞,0-0
4,ストレート,142km/h,見逃し,坂本 裕哉,鵜飼 航丞,0-0
5,ツーシーム,142km/h,空三振,坂本 裕哉,鵜飼 航丞,0-0
1,カットボール,133km/h,見逃し,坂本 裕哉,岡林 勇希,0-0
2,スライダー,129km/h,ボール,坂本 裕哉,岡林 勇希,0-0
3,ストレート,144km/h,左安,坂本 裕哉,岡林 勇希,0-0
1,カーブ,119km/h,ボール  [ワンバウンド],坂本 裕哉,郡司 裕也,0-0
2,ツーシーム,141km/h,ボール  [ワンバウンド],坂本 裕哉,郡司 裕也,0-0
3,ストレート,142km/h,ボール,坂本 裕哉,郡司 裕也,0-0
4,ストレート,142km/h,見逃し,坂本 裕哉,郡司 裕也,0-0
5,チェンジアップ,132km/h,四球,坂本 裕哉,郡司 裕也,0-0
1,カーブ,116km/h,ボール,坂本 裕哉,ビシエド,0-0
2,カットボール,133km/h,空振り  [ワンバウンド],坂本 裕哉,ビシエド,0-0
3,チェンジアップ,132km/h,一飛  [泳ぎ、インフィールドフライ],坂本 裕哉,ビシエド,0-0
1,ストレート,144km/h,ボール,坂本 裕哉,阿部 寿樹,0-0
2,チェンジアップ,130km/h,見逃し,坂本 裕哉,阿部 寿樹,0-0
3,ストレート,144km/h,ボール,坂本 裕哉,阿部 寿樹,0-0
4,カットボール,134km/h,ボール,坂本 裕哉,阿部 寿樹,0-0
5,チェンジアップ,132km/h,四球,坂本 裕哉,阿部 寿樹,0-0
1,カーブ,121km/h,ボール,坂本 裕哉,石川 昂弥,0-0
2,チェンジアップ,135km/h,ボール,坂本 裕哉,石川 昂弥,0-0
3,ストレート,145km/h,見逃し,坂本 裕哉,石川 昂弥,0-0
4,ストレート,144km/h,中飛  [フェンスギリギリ、ジャンピングキャッチ],坂本 裕哉,石川 昂弥,0-0
1,ツーシーム,145km/h,一失  [詰り],福谷 浩司,楠本 泰史,0-0
1,ツーシーム,145km/h,ファウル,福谷 浩司,神里 和毅,0-0
2,チェンジアップ,127km/h,遊飛,福谷 浩司,神里 和毅,0-0
1,スライダー,129km/h,見逃し,福谷 浩司,佐野 恵太,0-0
2,ストレート,142km/h,ボール,福谷 浩司,佐野 恵太,0-0
3,ツーシーム,146km/h,ボール,福谷 浩司,佐野 恵太,0-0
4,スライダー,128km/h,ボール,福谷 浩司,佐野 恵太,0-0
5,ツーシーム,146km/h,四球,福谷 浩司,佐野 恵太,0-0
1,スライダー,128km/h,見逃し,福谷 浩司,牧 秀悟,0-3
2,ツーシーム,142km/h,ボール  [打者のけぞる],福谷 浩司,牧 秀悟,0-3
3,ツーシーム,148km/h,右本  [逆球、スタンドギリギリ、観客大歓声],福谷 浩司,牧 秀悟,0-3
1,ストレート,148km/h,ボール,福谷 浩司,ソト,0-3
2,スライダー,133km/h,見逃し,福谷 浩司,ソト,0-3
3,フォーク,133km/h,ファウル,福谷 浩司,ソト,0-3
4,スライダー,131km/h,見三振,福谷 浩司,ソト,0-3
1,ツーシーム,147km/h,見逃し,福谷 浩司,戸柱 恭孝,0-3
2,チェンジアップ,132km/h,一ゴロ,福谷 浩司,戸柱 恭孝,0-3
1,ストレート,141km/h,右飛,坂本 裕哉,木下 拓哉,0-3
1,カーブ,119km/h,見逃し,坂本 裕哉,三ツ俣 大樹,0-3
2,カットボール,130km/h,ボール,坂本 裕哉,三ツ俣 大樹,0-3
3,チェンジアップ,131km/h,中２  [バットの先、ポテンヒット、好走塁],坂本 裕哉,三ツ俣 大樹,0-3
1,チェンジアップ,132km/h,ボール  [ワンバウンド],坂本 裕哉,福谷 浩司,0-3
2,ストレート,140km/h,一ゴロ  [バットの先、ボテボテ],坂本 裕哉,福谷 浩司,0-3
1,カットボール,132km/h,空振り,坂本 裕哉,鵜飼 航丞,0-3
2,チェンジアップ,129km/h,ボール,坂本 裕哉,鵜飼 航丞,0-3
3,カットボール,132km/h,ボール  [ワンバウンド],坂本 裕哉,鵜飼 航丞,0-3
4,ストレート,142km/h,ボール,坂本 裕哉,鵜飼 航丞,0-3
