投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,ストレート,147km/h,ボール,宮城 大弥,野村 大樹,0-0,top:73px; left:120px;
2,ストレート,146km/h,右飛,宮城 大弥,野村 大樹,0-0,top:33px; left:68px;
1,ストレート,153km/h,空振り,杉山 一樹,杉本 裕太郎,0-0,top:45px; left:72px;
2,カーブ,124km/h,ボール  [ワンバウンド],杉山 一樹,杉本 裕太郎,0-0,top:171px; left:36px;
3,ストレート,152km/h,左安  [打者ガッツポーズ],杉山 一樹,杉本 裕太郎,0-0,top:64px; left:76px;
1,フォーク,141km/h,空振り,杉山 一樹,マッカーシー,0-2,top:160px; left:65px;
2,カーブ,122km/h,ボール,杉山 一樹,マッカーシー,0-2,top:152px; left:43px;
3,ストレート,153km/h,右本  [本塁打確信、スタンド中段],杉山 一樹,マッカーシー,0-2,top:27px; left:73px;
1,ストレート,154km/h,空振り,杉山 一樹,安達 了一,0-2,top:52px; left:60px;
2,ストレート,155km/h,ボール,杉山 一樹,安達 了一,0-2,top:72px; left:17px;
3,カットボール,139km/h,ボール,杉山 一樹,安達 了一,0-2,top:20px; left:60px;
4,ストレート,154km/h,ファウル,杉山 一樹,安達 了一,0-2,top:75px; left:57px;
5,スライダー,127km/h,ファウル,杉山 一樹,安達 了一,0-2,top:133px; left:92px;
6,ストレート,153km/h,二ゴロ,杉山 一樹,安達 了一,0-2,top:144px; left:40px;
1,ストレート,148km/h,ファウル,杉山 一樹,紅林 弘太郎,0-2,top:104px; left:40px;
2,スライダー,127km/h,ボール  [ワンバウンド],杉山 一樹,紅林 弘太郎,0-2,top:172px; left:17px;
3,フォーク,148km/h,ボール  [ワンバウンド],杉山 一樹,紅林 弘太郎,0-2,top:173px; left:48px;
4,ストレート,153km/h,ファウル,杉山 一樹,紅林 弘太郎,0-2,top:146px; left:43px;
5,カーブ,122km/h,中飛,杉山 一樹,紅林 弘太郎,0-2,top:116px; left:72px;
1,ストレート,154km/h,ボール,杉山 一樹,頓宮 裕真,0-2,top:157px; left:7px;
2,ストレート,154km/h,ボール,杉山 一樹,頓宮 裕真,0-2,top:126px; left:18px;
3,ストレート,152km/h,左２  [ライン際],杉山 一樹,頓宮 裕真,0-2,top:96px; left:74px;
1,フォーク,143km/h,ボール,杉山 一樹,石岡 諒太,0-3,top:176px; left:117px;
2,カットボール,141km/h,空振り,杉山 一樹,石岡 諒太,0-3,top:36px; left:107px;
3,フォーク,142km/h,空振り  [ワンバウンド],杉山 一樹,石岡 諒太,0-3,top:174px; left:73px;
4,スライダー,125km/h,ボール  [ワンバウンド],杉山 一樹,石岡 諒太,0-3,top:175px; left:42px;
5,ストレート,-,ファウル,杉山 一樹,石岡 諒太,0-3,top:53px; left:79px;
