投球数,球種,球速,結果,投手,打者,スコア,投球コース
2,カットボール,139km/h,右飛,阿部 翔太,グラシアル,5-5,top:133px; left:35px;
1,ストレート,148km/h,ボール,松本 裕樹,紅林 弘太郎,5-5,top:16px; left:109px;
2,ストレート,150km/h,ファウル,松本 裕樹,紅林 弘太郎,5-5,top:96px; left:73px;
3,ストレート,153km/h,ファウル,松本 裕樹,紅林 弘太郎,5-5,top:23px; left:97px;
4,スライダー,134km/h,ファウル,松本 裕樹,紅林 弘太郎,5-5,top:156px; left:24px;
5,スライダー,135km/h,ファウル,松本 裕樹,紅林 弘太郎,5-5,top:135px; left:35px;
6,ストレート,143km/h,二ゴロ  [詰り],松本 裕樹,紅林 弘太郎,5-5,top:104px; left:116px;
1,フォーク,135km/h,見逃し,松本 裕樹,頓宮 裕真,5-5,top:114px; left:98px;
2,スライダー,133km/h,ボール,松本 裕樹,頓宮 裕真,5-5,top:151px; left:17px;
3,スライダー,127km/h,見逃し,松本 裕樹,頓宮 裕真,5-5,top:93px; left:87px;
4,ストレート,151km/h,遊飛  [詰り、バット折れる],松本 裕樹,頓宮 裕真,5-5,top:108px; left:118px;
1,ストレート,147km/h,ファウル,松本 裕樹,福田 周平,5-5,top:96px; left:23px;
2,ストレート,152km/h,ファウル,松本 裕樹,福田 周平,5-5,top:99px; left:52px;
3,フォーク,136km/h,ボール,松本 裕樹,福田 周平,5-5,top:166px; left:120px;
4,フォーク,141km/h,遊直  [野手の正面をつく],松本 裕樹,福田 周平,5-5,top:102px; left:95px;
1,ストレート,146km/h,空振り  [フルスイング],近藤 大亮,野村 大樹,5-5,top:78px; left:79px;
2,ストレート,147km/h,ファウル,近藤 大亮,野村 大樹,5-5,top:60px; left:56px;
3,ストレート,152km/h,ボール,近藤 大亮,野村 大樹,5-5,top:10px; left:72px;
4,ストレート,151km/h,ボール,近藤 大亮,野村 大樹,5-5,top:152px; left:75px;
5,カットボール,137km/h,ファウル,近藤 大亮,野村 大樹,5-5,top:66px; left:40px;
6,ストレート,149km/h,左３  [好走塁],近藤 大亮,野村 大樹,5-5,top:150px; left:95px;
1,カットボール,139km/h,空振り,近藤 大亮,リチャード,5-5,top:71px; left:70px;
2,ストレート,153km/h,ボール,近藤 大亮,リチャード,5-5,top:129px; left:8px;
3,ストレート,150km/h,空振り,近藤 大亮,リチャード,5-5,top:99px; left:39px;
4,ストレート,152km/h,ファウル,近藤 大亮,リチャード,5-5,top:73px; left:24px;
5,ストレート,146km/h,ボール,近藤 大亮,リチャード,5-5,top:15px; left:105px;
6,カットボール,140km/h,ボール,近藤 大亮,リチャード,5-5,top:20px; left:28px;
7,ストレート,150km/h,ファウル,近藤 大亮,リチャード,5-5,top:116px; left:67px;
8,カットボール,138km/h,四球,近藤 大亮,リチャード,5-5,top:21px; left:97px;
1,ストレート,144km/h,ボール,近藤 大亮,甲斐 拓也,6-5,top:46px; left:122px;
2,ストレート,-,一犠野  [セーフティスクイズ、ガッツポーズ],近藤 大亮,甲斐 拓也,6-5,top:56px; left:78px;
1,カットボール,136km/h,三犠打,近藤 大亮,野村 勇,6-5,top:108px; left:64px;
1,フォーク,133km/h,ボール,近藤 大亮,牧原 大成,6-5,top:42px; left:134px;
2,ストレート,147km/h,左飛  [詰り],近藤 大亮,牧原 大成,6-5,top:52px; left:52px;
1,ストレート,146km/h,ボール,近藤 大亮,デスパイネ,7-5,top:16px; left:58px;
2,ストレート,143km/h,ボール,近藤 大亮,デスパイネ,7-5,top:158px; left:9px;
3,ストレート,142km/h,ボール,近藤 大亮,デスパイネ,7-5,top:17px; left:130px;
4,ストレート,147km/h,四球  [打者ガッツポーズ],近藤 大亮,デスパイネ,7-5,top:21px; left:75px;
1,スライダー,129km/h,ファウル,比嘉 幹貴,今宮 健太,7-5,top:66px; left:57px;
2,スライダー,133km/h,ファウル,比嘉 幹貴,今宮 健太,7-5,top:70px; left:20px;
3,スライダー,130km/h,ボール,比嘉 幹貴,今宮 健太,7-5,top:169px; left:16px;
4,シンカー,134km/h,空三振  [好リリーフ],比嘉 幹貴,今宮 健太,7-5,top:165px; left:67px;
1,ストレート,154km/h,ファウル,藤井 皓哉,宗 佑磨,7-5,top:73px; left:84px;
2,ストレート,154km/h,二ゴロ,藤井 皓哉,宗 佑磨,7-5,top:29px; left:48px;
1,スライダー,131km/h,ボール,藤井 皓哉,中川 圭太,7-5,top:150px; left:48px;
2,ストレート,152km/h,ファウル,藤井 皓哉,中川 圭太,7-5,top:75px; left:64px;
3,フォーク,138km/h,ファウル,藤井 皓哉,中川 圭太,7-5,top:136px; left:40px;
4,フォーク,141km/h,ファウル,藤井 皓哉,中川 圭太,7-5,top:156px; left:52px;
5,ストレート,156km/h,ボール,藤井 皓哉,中川 圭太,7-5,top:152px; left:24px;
6,フォーク,140km/h,空三振  [ワンバウンド],藤井 皓哉,中川 圭太,7-5,top:172px; left:80px;
1,ストレート,150km/h,空振り  [フルスイング、ファウルチップ],藤井 皓哉,吉田 正尚,7-5,top:161px; left:54px;
2,ストレート,156km/h,ボール,藤井 皓哉,吉田 正尚,7-5,top:152px; left:100px;
3,フォーク,135km/h,ボール,藤井 皓哉,吉田 正尚,7-5,top:165px; left:78px;
4,スライダー,136km/h,空振り  [ワンバウンド],藤井 皓哉,吉田 正尚,7-5,top:171px; left:64px;
5,ストレート,155km/h,中飛  [痛烈な当たり],藤井 皓哉,吉田 正尚,7-5,top:112px; left:57px;
1,フォーク,134km/h,ボール,黒木 優太,グラシアル,7-5,top:22px; left:108px;
2,ストレート,148km/h,ボール,黒木 優太,グラシアル,7-5,top:158px; left:32px;
3,ストレート,146km/h,ファウル,黒木 優太,グラシアル,7-5,top:115px; left:76px;
4,ストレート,145km/h,ファウル,黒木 優太,グラシアル,7-5,top:56px; left:88px;
5,フォーク,135km/h,空三振  [ワンバウンド、バットが捕手に直撃],黒木 優太,グラシアル,7-5,top:169px; left:88px;
1,ストレート,145km/h,ボール  [セーフティバント、バント構え],黒木 優太,周東 佑京,7-5,top:165px; left:120px;
2,ストレート,150km/h,ファウル  [セーフティバント、バントファウル],黒木 優太,周東 佑京,7-5,top:53px; left:96px;
3,ストレート,149km/h,ファウル  [セーフティバント、バントファウル],黒木 優太,周東 佑京,7-5,top:114px; left:43px;
4,フォーク,139km/h,バ三振  [セーフティバント、バントファウル],黒木 優太,周東 佑京,7-5,top:150px; left:67px;
1,ストレート,145km/h,三ゴロ  [詰り、ランニングスロー],黒木 優太,髙田 知季,7-5,top:55px; left:48px;
1,ストレート,152km/h,空振り,モイネロ,杉本 裕太郎,7-5,top:120px; left:107px;
2,ストレート,153km/h,空振り,モイネロ,杉本 裕太郎,7-5,top:56px; left:116px;
3,ストレート,153km/h,ボール  [高めのつり球を要求],モイネロ,杉本 裕太郎,7-5,top:9px; left:56px;
4,ストレート,153km/h,ボール,モイネロ,杉本 裕太郎,7-5,top:59px; left:129px;
5,ストレート,151km/h,ボール  [ハーフスイング],モイネロ,杉本 裕太郎,7-5,top:140px; left:126px;
6,ストレート,152km/h,ファウル,モイネロ,杉本 裕太郎,7-5,top:100px; left:58px;
7,ストレート,153km/h,見三振  [構えたところにズバリ、一塁へ歩きかける],モイネロ,杉本 裕太郎,7-5,top:144px; left:109px;
1,スライダー,144km/h,見逃し,モイネロ,マッカーシー,7-5,top:120px; left:68px;
2,スライダー,137km/h,ボール  [ワンバウンド],モイネロ,マッカーシー,7-5,top:173px; left:18px;
3,チェンジアップ,135km/h,空振り,モイネロ,マッカーシー,7-5,top:59px; left:93px;
4,チェンジアップ,136km/h,空三振,モイネロ,マッカーシー,7-5,top:151px; left:107px;
1,チェンジアップ,135km/h,空振り,モイネロ,安達 了一,7-5,top:164px; left:72px;
2,ストレート,150km/h,ボール,モイネロ,安達 了一,7-5,top:62px; left:16px;
3,チェンジアップ,136km/h,ボール,モイネロ,安達 了一,7-5,top:152px; left:108px;
4,ストレート,151km/h,ファウル,モイネロ,安達 了一,7-5,top:118px; left:27px;
5,ストレート,152km/h,ボール,モイネロ,安達 了一,7-5,top:21px; left:121px;
6,ストレート,152km/h,ファウル,モイネロ,安達 了一,7-5,top:98px; left:88px;
7,チェンジアップ,143km/h,四球,モイネロ,安達 了一,7-5,top:168px; left:96px;
1,チェンジアップ,137km/h,見逃し,モイネロ,紅林 弘太郎,7-5,top:125px; left:45px;
2,チェンジアップ,134km/h,遊ゴロ  [引っかけ、バットの先],モイネロ,紅林 弘太郎,7-5,top:124px; left:44px;
