投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,カットボール,136km/h,ファウル,大瀬良 大地,細川 成也,8-1,top:72px; left:43px;
2,ストレート,143km/h,ボール,大瀬良 大地,細川 成也,8-1,top:19px; left:73px;
3,ストレート,145km/h,ボール,大瀬良 大地,細川 成也,8-1,top:13px; left:52px;
4,カットボール,135km/h,見逃し,大瀬良 大地,細川 成也,8-1,top:55px; left:63px;
5,ストレート,144km/h,空三振  [ハーフスイング],大瀬良 大地,細川 成也,8-1,top:20px; left:96px;
1,カットボール,135km/h,中２  [フェンス直撃],大瀬良 大地,桑原 将志,8-3,top:99px; left:59px;
1,ストレート,149km/h,ボール,塹江 敦哉,佐野 恵太,8-3,top:24px; left:124px;
2,シュート,148km/h,ボール,塹江 敦哉,佐野 恵太,8-3,top:20px; left:12px;
3,シュート,149km/h,二ゴロ  [詰り、バット折れる],塹江 敦哉,佐野 恵太,8-3,top:45px; left:20px;
1,ストレート,142km/h,ファウル,三浦 銀二,小園 海斗,8-3,top:87px; left:104px;
2,スライダー,130km/h,ボール  [ワンバウンド],三浦 銀二,小園 海斗,8-3,top:164px; left:18px;
3,ストレート,146km/h,左安  [逆球],三浦 銀二,小園 海斗,8-3,top:56px; left:92px;
1,ストレート,142km/h,ボール,三浦 銀二,松山 竜平,8-3,top:159px; left:45px;
2,ストレート,142km/h,見逃し,三浦 銀二,松山 竜平,8-3,top:118px; left:110px;
3,ストレート,143km/h,ボール,三浦 銀二,松山 竜平,8-3,top:95px; left:124px;
4,スライダー,132km/h,空振り  [ワンバウンド],三浦 銀二,松山 竜平,8-3,top:165px; left:64px;
5,チェンジアップ,126km/h,中飛,三浦 銀二,松山 竜平,8-3,top:24px; left:100px;
1,チェンジアップ,123km/h,ボール,三浦 銀二,坂倉 将吾,8-3,top:69px; left:127px;
2,ストレート,141km/h,ボール,三浦 銀二,坂倉 将吾,8-3,top:156px; left:125px;
3,スライダー,129km/h,ボール  [ハーフスイング],三浦 銀二,坂倉 将吾,8-3,top:159px; left:19px;
4,ストレート,142km/h,見逃し,三浦 銀二,坂倉 将吾,8-3,top:85px; left:92px;
5,ストレート,142km/h,見逃し,三浦 銀二,坂倉 将吾,8-3,top:125px; left:90px;
6,ストレート,145km/h,右安  [ランエンドヒット],三浦 銀二,坂倉 将吾,8-3,top:70px; left:60px;
1,ストレート,142km/h,ボール,三浦 銀二,會澤 翼,9-3,top:22px; left:68px;
2,カーブ,119km/h,ボール,三浦 銀二,會澤 翼,9-3,top:164px; left:92px;
3,ストレート,142km/h,見逃し,三浦 銀二,會澤 翼,9-3,top:84px; left:103px;
4,ストレート,143km/h,左犠飛,三浦 銀二,會澤 翼,9-3,top:47px; left:98px;
1,カーブ,119km/h,見逃し,三浦 銀二,大盛 穂,9-3,top:53px; left:87px;
2,チェンジアップ,126km/h,空振り,三浦 銀二,大盛 穂,9-3,top:164px; left:72px;
