投球数,球種,球速,結果,投手,打者,スコア,投球コース
5,ストレート,147km/h,ボール,菅野 智之,福留 孝介,2-1,top:32px; left:14px;
6,ツーシーム,149km/h,ファウル,菅野 智之,福留 孝介,2-1,top:134px; left:84px;
7,スライダー,136km/h,空三振  [投手ガッツポーズ],菅野 智之,福留 孝介,2-1,top:70px; left:100px;
1,ツーシーム,133km/h,見逃し,大野 雄大,小林 誠司,2-1,top:121px; left:79px;
2,ストレート,147km/h,ファウル,大野 雄大,小林 誠司,2-1,top:65px; left:87px;
3,フォーク,136km/h,遊ゴロ  [逆シングル],大野 雄大,小林 誠司,2-1,top:129px; left:38px;
1,ストレート,146km/h,見逃し,大野 雄大,菅野 智之,2-1,top:58px; left:97px;
2,ストレート,146km/h,空振り,大野 雄大,菅野 智之,2-1,top:41px; left:34px;
3,フォーク,138km/h,ボール,大野 雄大,菅野 智之,2-1,top:153px; left:37px;
4,ストレート,148km/h,ボール,大野 雄大,菅野 智之,2-1,top:12px; left:4px;
5,ストレート,146km/h,右飛,大野 雄大,菅野 智之,2-1,top:122px; left:39px;
1,ストレート,147km/h,空振り  [ハーフスイング],大野 雄大,吉川 尚輝,2-1,top:24px; left:65px;
2,フォーク,135km/h,見逃し,大野 雄大,吉川 尚輝,2-1,top:39px; left:99px;
3,カットボール,140km/h,一安  [バウンド高い、素手で捕球、リプレー検証後判定変わらず],大野 雄大,吉川 尚輝,2-1,top:126px; left:88px;
1,フォーク,137km/h,空振り,大野 雄大,廣岡 大志,2-1,top:124px; left:49px;
1,フォーク,137km/h,空振り,大野 雄大,廣岡 大志,2-2,top:124px; left:49px;
2,ストレート,147km/h,空振り,大野 雄大,廣岡 大志,2-2,top:29px; left:75px;
3,ストレート,148km/h,ボール  [投球が打者に当たる],大野 雄大,廣岡 大志,2-2,top:30px; left:131px;
4,ストレート,148km/h,中２  [フェンス直撃],大野 雄大,廣岡 大志,2-2,top:36px; left:54px;
1,フォーク,136km/h,ボール,大野 雄大,ポランコ,2-3,top:158px; left:132px;
2,フォーク,136km/h,右安,大野 雄大,ポランコ,2-3,top:130px; left:104px;
1,ツーシーム,134km/h,左２  [打者ガッツポーズ],大野 雄大,岡本 和真,2-4,top:95px; left:58px;
1,ツーシーム,137km/h,ボール,大野 雄大,中田 翔,2-4,top:153px; left:13px;
2,フォーク,139km/h,三ゴロ  [ダイビングキャッチ、好プレイ],大野 雄大,中田 翔,2-4,top:126px; left:63px;
1,ツーシーム,147km/h,ボール,菅野 智之,ビシエド,2-4,top:50px; left:122px;
2,ツーシーム,148km/h,ボール,菅野 智之,ビシエド,2-4,top:84px; left:123px;
3,ツーシーム,148km/h,ボール,菅野 智之,ビシエド,2-4,top:36px; left:120px;
4,ストレート,147km/h,見逃し,菅野 智之,ビシエド,2-4,top:80px; left:48px;
5,ツーシーム,149km/h,四球,菅野 智之,ビシエド,2-4,top:67px; left:117px;
1,ストレート,148km/h,ファウル,菅野 智之,木下 拓哉,2-4,top:84px; left:29px;
2,ツーシーム,147km/h,ボール,菅野 智之,木下 拓哉,2-4,top:84px; left:120px;
3,ツーシーム,147km/h,空振り,菅野 智之,木下 拓哉,2-4,top:108px; left:121px;
4,スライダー,133km/h,ボール,菅野 智之,木下 拓哉,2-4,top:79px; left:14px;
5,ツーシーム,148km/h,ファウル,菅野 智之,木下 拓哉,2-4,top:89px; left:113px;
6,フォーク,141km/h,空三振  [ワンバウンド],菅野 智之,木下 拓哉,2-4,top:162px; left:88px;
1,スライダー,134km/h,見逃し,菅野 智之,阿部 寿樹,2-4,top:98px; left:34px;
2,ツーシーム,145km/h,ボール,菅野 智之,阿部 寿樹,2-4,top:101px; left:122px;
3,ツーシーム,148km/h,右２,菅野 智之,阿部 寿樹,2-4,top:125px; left:80px;
1,スライダー,136km/h,見逃し,菅野 智之,石川 昂弥,2-4,top:64px; left:57px;
2,スライダー,136km/h,ファウル,菅野 智之,石川 昂弥,2-4,top:153px; left:18px;
3,ストレート,149km/h,ボール,菅野 智之,石川 昂弥,2-4,top:160px; left:70px;
4,スライダー,137km/h,空三振  [投手ガッツポーズ],菅野 智之,石川 昂弥,2-4,top:55px; left:16px;
1,スライダー,134km/h,空振り,菅野 智之,京田 陽太,2-4,top:157px; left:23px;
2,ストレート,146km/h,ボール,菅野 智之,京田 陽太,2-4,top:91px; left:124px;
3,スライダー,134km/h,ボール,菅野 智之,京田 陽太,2-4,top:156px; left:16px;
4,スライダー,136km/h,遊飛,菅野 智之,京田 陽太,2-4,top:53px; left:35px;
1,カットボール,132km/h,ボール,大野 雄大,丸 佳浩,2-4,top:136px; left:126px;
2,ツーシーム,135km/h,ボール,大野 雄大,丸 佳浩,2-4,top:84px; left:126px;
3,ツーシーム,133km/h,ボール,大野 雄大,丸 佳浩,2-4,top:16px; left:20px;
4,ストレート,144km/h,右安,大野 雄大,丸 佳浩,2-4,top:24px; left:82px;
1,ツーシーム,132km/h,空振り,大野 雄大,ウィーラー,2-4,top:132px; left:64px;
2,ストレート,144km/h,見逃し,大野 雄大,ウィーラー,2-4,top:89px; left:104px;
3,フォーク,135km/h,中飛,大野 雄大,ウィーラー,2-4,top:139px; left:74px;
1,ストレート,137km/h,投飛  [バント失敗],大野 雄大,小林 誠司,2-4,top:19px; left:65px;
1,ストレート,144km/h,ファウル,大野 雄大,中島 宏之,2-4,top:56px; left:35px;
2,ストレート,143km/h,見逃し,大野 雄大,中島 宏之,2-4,top:84px; left:99px;
3,フォーク,136km/h,ファウル,大野 雄大,中島 宏之,2-4,top:80px; left:19px;
4,ストレート,144km/h,ファウル,大野 雄大,中島 宏之,2-4,top:46px; left:18px;
5,フォーク,137km/h,ボール  [ワンバウンド],大野 雄大,中島 宏之,2-4,top:168px; left:38px;
6,ストレート,144km/h,ファウル  [止めたバットに当たる],大野 雄大,中島 宏之,2-4,top:24px; left:100px;
7,フォーク,136km/h,三ゴロ,大野 雄大,中島 宏之,2-4,top:141px; left:78px;
1,ストレート,143km/h,左２,今村 信貴,平田 良介,2-4,top:128px; left:72px;
1,シュート,141km/h,見逃し,今村 信貴,大島 洋平,2-4,top:52px; left:44px;
2,シュート,142km/h,見逃し,今村 信貴,大島 洋平,2-4,top:40px; left:68px;
3,フォーク,132km/h,ファウル,今村 信貴,大島 洋平,2-4,top:24px; left:17px;
4,ストレート,144km/h,ボール,今村 信貴,大島 洋平,2-4,top:47px; left:121px;
5,フォーク,132km/h,二ゴロ,今村 信貴,大島 洋平,2-4,top:148px; left:98px;
1,フォーク,135km/h,ボール,今村 信貴,岡林 勇希,2-4,top:160px; left:93px;
2,シュート,144km/h,見逃し,今村 信貴,岡林 勇希,2-4,top:119px; left:32px;
3,スライダー,118km/h,ボール,今村 信貴,岡林 勇希,2-4,top:158px; left:126px;
4,シュート,144km/h,ボール,今村 信貴,岡林 勇希,2-4,top:157px; left:59px;
5,シュート,144km/h,見逃し,今村 信貴,岡林 勇希,2-4,top:120px; left:57px;
6,フォーク,136km/h,遊ゴロ  [内野前進、野手の正面をつく、走者動けず],今村 信貴,岡林 勇希,2-4,top:142px; left:103px;
1,ストレート,144km/h,ボール,今村 信貴,福留 孝介,2-4,top:12px; left:95px;
2,シュート,142km/h,ファウル,今村 信貴,福留 孝介,2-4,top:46px; left:29px;
3,シュート,144km/h,左飛,今村 信貴,福留 孝介,2-4,top:81px; left:40px;
1,スライダー,131km/h,見逃し,田島 慎二,吉川 尚輝,2-4,top:129px; left:63px;
2,ストレート,147km/h,左飛,田島 慎二,吉川 尚輝,2-4,top:84px; left:100px;
1,ストレート,145km/h,ボール,田島 慎二,廣岡 大志,2-4,top:90px; left:2px;
2,スプリット,144km/h,ボール,田島 慎二,廣岡 大志,2-4,top:17px; left:98px;
3,スプリット,142km/h,空振り,田島 慎二,廣岡 大志,2-4,top:144px; left:100px;
4,ストレート,146km/h,ボール,田島 慎二,廣岡 大志,2-4,top:124px; left:12px;
5,スプリット,142km/h,見逃し,田島 慎二,廣岡 大志,2-4,top:56px; left:84px;
6,スプリット,143km/h,四球,田島 慎二,廣岡 大志,2-4,top:153px; left:105px;
1,ストレート,147km/h,ボール,田島 慎二,ポランコ,2-4,top:154px; left:37px;
2,カットボール,144km/h,空振り,田島 慎二,ポランコ,2-4,top:49px; left:32px;
3,カットボール,144km/h,ボール,田島 慎二,ポランコ,2-4,top:152px; left:7px;
4,カットボール,144km/h,ファウル,田島 慎二,ポランコ,2-4,top:30px; left:47px;
5,ストレート,146km/h,見三振  [構えたところにズバリ],田島 慎二,ポランコ,2-4,top:98px; left:33px;
1,ストレート,146km/h,二飛  [高々と舞い上がる],田島 慎二,岡本 和真,2-4,top:99px; left:85px;
1,ストレート,149km/h,ボール,デラロサ,ビシエド,2-4,top:19px; left:109px;
2,スライダー,128km/h,空振り,デラロサ,ビシエド,2-4,top:74px; left:60px;
3,ストレート,150km/h,ファウル,デラロサ,ビシエド,2-4,top:90px; left:107px;
4,ストレート,152km/h,ボール,デラロサ,ビシエド,2-4,top:128px; left:15px;
5,スライダー,133km/h,ボール  [ワンバウンド],デラロサ,ビシエド,2-4,top:169px; left:3px;
6,スライダー,131km/h,ファウル,デラロサ,ビシエド,2-4,top:92px; left:33px;
7,チェンジアップ,141km/h,四球  [ワンバウンド],デラロサ,ビシエド,2-4,top:169px; left:34px;
1,スライダー,129km/h,見逃し,デラロサ,木下 拓哉,2-4,top:65px; left:39px;
2,ストレート,152km/h,ファウル,デラロサ,木下 拓哉,2-4,top:89px; left:30px;
3,スライダー,132km/h,ファウル,デラロサ,木下 拓哉,2-4,top:104px; left:16px;
4,ツーシーム,149km/h,ボール,デラロサ,木下 拓哉,2-4,top:50px; left:123px;
5,ツーシーム,149km/h,一ゴロ  [詰り、バット折れる],デラロサ,木下 拓哉,2-4,top:88px; left:100px;
1,スライダー,130km/h,ボール,デラロサ,阿部 寿樹,2-4,top:90px; left:13px;
2,スライダー,128km/h,ボール,デラロサ,阿部 寿樹,2-4,top:163px; left:7px;
3,スライダー,128km/h,見逃し,デラロサ,阿部 寿樹,2-4,top:121px; left:40px;
4,ストレート,149km/h,ボール,デラロサ,阿部 寿樹,2-4,top:156px; left:8px;
5,ストレート,148km/h,ファウル,デラロサ,阿部 寿樹,2-4,top:36px; left:34px;
6,スライダー,130km/h,二ゴロ,デラロサ,阿部 寿樹,2-4,top:104px; left:20px;
1,スライダー,131km/h,空振り,デラロサ,石川 昂弥,2-4,top:159px; left:13px;
2,スライダー,131km/h,空振り,デラロサ,石川 昂弥,2-4,top:155px; left:20px;
3,ストレート,151km/h,ボール  [ベンチに戻りかける、苦笑い],デラロサ,石川 昂弥,2-4,top:93px; left:16px;
4,スライダー,130km/h,ボール  [ワンバウンド],デラロサ,石川 昂弥,2-4,top:169px; left:16px;
5,スライダー,127km/h,死球  [すっぽ抜け],デラロサ,石川 昂弥,2-4,top:26px; left:140px;
1,スライダー,131km/h,ファウル,高梨 雄平,鵜飼 航丞,2-4,top:86px; left:117px;
2,スライダー,128km/h,空振り  [投球が打者に当たる],高梨 雄平,鵜飼 航丞,2-4,top:104px; left:124px;
3,シュート,144km/h,ボール,高梨 雄平,鵜飼 航丞,2-4,top:132px; left:13px;
4,シュート,143km/h,ボール,高梨 雄平,鵜飼 航丞,2-4,top:116px; left:16px;
5,スライダー,131km/h,右飛,高梨 雄平,鵜飼 航丞,2-4,top:53px; left:67px;
1,ストレート,154km/h,見逃し,ロドリゲス,中田 翔,2-4,top:89px; left:33px;
2,ストレート,155km/h,ボール  [ハーフスイング],ロドリゲス,中田 翔,2-4,top:15px; left:69px;
3,ストレート,153km/h,ボール,ロドリゲス,中田 翔,2-4,top:18px; left:112px;
4,縦スライダー,134km/h,見逃し,ロドリゲス,中田 翔,2-4,top:79px; left:43px;
5,縦スライダー,134km/h,三飛  [バットの先、バット折れる],ロドリゲス,中田 翔,2-4,top:113px; left:28px;
1,ツーシーム,154km/h,ボール,ロドリゲス,丸 佳浩,2-4,top:159px; left:125px;
2,縦スライダー,135km/h,ボール  [ワンバウンド],ロドリゲス,丸 佳浩,2-4,top:166px; left:10px;
3,縦スライダー,134km/h,見逃し,ロドリゲス,丸 佳浩,2-4,top:109px; left:40px;
4,ストレート,155km/h,ファウル,ロドリゲス,丸 佳浩,2-4,top:67px; left:44px;
5,ストレート,-,空三振  [ハーフスイング],ロドリゲス,丸 佳浩,2-4,top:20px; left:121px;
1,ツーシーム,152km/h,ボール,ロドリゲス,若林 晃弘,2-4,top:19px; left:125px;
2,縦スライダー,132km/h,ボール,ロドリゲス,若林 晃弘,2-4,top:24px; left:124px;
3,ストレート,153km/h,ボール,ロドリゲス,若林 晃弘,2-4,top:16px; left:109px;
4,ストレート,150km/h,見逃し,ロドリゲス,若林 晃弘,2-4,top:96px; left:52px;
5,縦スライダー,132km/h,見逃し,ロドリゲス,若林 晃弘,2-4,top:105px; left:107px;
6,縦スライダー,133km/h,ファウル,ロドリゲス,若林 晃弘,2-4,top:60px; left:53px;
7,ストレート,154km/h,ファウル,ロドリゲス,若林 晃弘,2-4,top:84px; left:100px;
8,縦スライダー,132km/h,ファウル,ロドリゲス,若林 晃弘,2-4,top:64px; left:113px;
9,縦スライダー,135km/h,ファウル  [自打球],ロドリゲス,若林 晃弘,2-4,top:82px; left:44px;
10,ストレート,154km/h,ファウル,ロドリゲス,若林 晃弘,2-4,top:78px; left:80px;
11,ストレート,156km/h,ファウル,ロドリゲス,若林 晃弘,2-4,top:159px; left:84px;
12,縦スライダー,133km/h,左飛,ロドリゲス,若林 晃弘,2-4,top:69px; left:79px;
1,ストレート,153km/h,ファウル,大勢,平田 良介,2-4,top:106px; left:60px;
2,スライダー,132km/h,見逃し,大勢,平田 良介,2-4,top:124px; left:56px;
3,フォーク,144km/h,ボール  [ワンバウンド],大勢,平田 良介,2-4,top:170px; left:4px;
4,ストレート,154km/h,ボール,大勢,平田 良介,2-4,top:150px; left:128px;
5,ストレート,154km/h,ファウル,大勢,平田 良介,2-4,top:49px; left:118px;
6,ストレート,158km/h,空三振,大勢,平田 良介,2-4,top:100px; left:29px;
1,ストレート,155km/h,見逃し,大勢,大島 洋平,2-4,top:46px; left:39px;
2,ストレート,156km/h,ファウル,大勢,大島 洋平,2-4,top:132px; left:117px;
3,フォーク,144km/h,ボール  [ワンバウンド],大勢,大島 洋平,2-4,top:168px; left:35px;
4,ストレート,157km/h,左安,大勢,大島 洋平,2-4,top:18px; left:102px;
1,ストレート,152km/h,ボール,大勢,岡林 勇希,2-4,top:136px; left:120px;
2,ストレート,154km/h,ファウル,大勢,岡林 勇希,2-4,top:32px; left:44px;
3,ストレート,155km/h,空振り,大勢,岡林 勇希,2-4,top:99px; left:112px;
4,ストレート,155km/h,ファウル,大勢,岡林 勇希,2-4,top:44px; left:120px;
5,ストレート,154km/h,ファウル,大勢,岡林 勇希,2-4,top:22px; left:68px;
6,フォーク,142km/h,ボール  [ワンバウンド],大勢,岡林 勇希,2-4,top:164px; left:29px;
7,ストレート,156km/h,左安,大勢,岡林 勇希,2-4,top:59px; left:53px;
1,ストレート,155km/h,ボール,大勢,溝脇 隼人,2-4,top:47px; left:128px;
2,ストレート,154km/h,ファウル,大勢,溝脇 隼人,2-4,top:29px; left:121px;
3,フォーク,140km/h,ボール,大勢,溝脇 隼人,2-4,top:148px; left:92px;
4,ストレート,154km/h,ボール,大勢,溝脇 隼人,2-4,top:22px; left:128px;
5,ストレート,153km/h,見逃し,大勢,溝脇 隼人,2-4,top:95px; left:38px;
6,ストレート,155km/h,二ゴロ  [併殺崩れ],大勢,溝脇 隼人,2-4,top:86px; left:72px;
1,ストレート,154km/h,死球,大勢,ビシエド,2-4,top:16px; left:135px;
1,ストレート,155km/h,見逃し,大勢,木下 拓哉,2-4,top:98px; left:39px;
2,フォーク,139km/h,ボール,大勢,木下 拓哉,2-4,top:88px; left:10px;
3,ストレート,156km/h,投ゴロ  [詰り、ヘッドスライディング],大勢,木下 拓哉,2-4,top:36px; left:109px;
1,ストレート,143km/h,見逃し,東 克樹,西川 龍馬,0-0,top:115px; left:108px;
2,チェンジアップ,130km/h,ボール,東 克樹,西川 龍馬,0-0,top:158px; left:28px;
3,ストレート,141km/h,左飛  [ダイビングキャッチ、好プレイ],東 克樹,西川 龍馬,0-0,top:96px; left:49px;
1,ストレート,142km/h,遊ゴロ,東 克樹,菊池 涼介,0-0,top:50px; left:18px;
1,カーブ,119km/h,見逃し,東 克樹,小園 海斗,0-0,top:88px; left:108px;
2,カットボール,133km/h,左飛,東 克樹,小園 海斗,0-0,top:89px; left:108px;
1,スライダー,129km/h,見逃し,大瀬良 大地,桑原 将志,0-0,top:124px; left:88px;
2,ストレート,142km/h,ボール  [ワンバウンド],大瀬良 大地,桑原 将志,0-0,top:170px; left:12px;
3,カットボール,140km/h,ボール,大瀬良 大地,桑原 将志,0-0,top:96px; left:16px;
4,カットボール,141km/h,三ゴロ  [ランニングスロー、バットの先、ボテボテ、ヘッドスライディング],大瀬良 大地,桑原 将志,0-0,top:148px; left:18px;
1,ストレート,150km/h,見逃し,大瀬良 大地,佐野 恵太,0-0,top:141px; left:64px;
2,カーブ,119km/h,ファウル  [ポール際],大瀬良 大地,佐野 恵太,0-0,top:113px; left:47px;
3,カーブ,119km/h,投ゴロ,大瀬良 大地,佐野 恵太,0-0,top:127px; left:62px;
1,ストレート,148km/h,ボール,大瀬良 大地,楠本 泰史,0-0,top:71px; left:124px;
2,ストレート,144km/h,見逃し,大瀬良 大地,楠本 泰史,0-0,top:132px; left:92px;
3,カーブ,117km/h,ボール,大瀬良 大地,楠本 泰史,0-0,top:22px; left:116px;
4,フォーク,138km/h,中安,大瀬良 大地,楠本 泰史,0-0,top:127px; left:98px;
1,ストレート,147km/h,ファウル,大瀬良 大地,牧 秀悟,0-0,top:96px; left:44px;
2,カットボール,139km/h,空振り,大瀬良 大地,牧 秀悟,0-0,top:131px; left:15px;
3,ストレート,147km/h,ボール  [ハーフスイング],大瀬良 大地,牧 秀悟,0-0,top:104px; left:16px;
4,ストレート,146km/h,見三振  [全く反応できず],大瀬良 大地,牧 秀悟,0-0,top:80px; left:109px;
1,カットボール,130km/h,ボール,東 克樹,松山 竜平,0-0,top:23px; left:103px;
2,カットボール,130km/h,一失,東 克樹,松山 竜平,0-0,top:155px; left:96px;
1,ストレート,140km/h,右安,東 克樹,坂倉 将吾,0-0,top:52px; left:52px;
1,カットボール,133km/h,ボール,東 克樹,會澤 翼,0-0,top:18px; left:93px;
2,カットボール,132km/h,見逃し,東 克樹,會澤 翼,0-0,top:81px; left:43px;
3,カットボール,132km/h,右飛  [走者動けず],東 克樹,會澤 翼,0-0,top:59px; left:99px;
1,チェンジアップ,128km/h,ボール  [ワンバウンド],東 克樹,末包 昇大,1-0,top:166px; left:70px;
2,チェンジアップ,127km/h,空振り,東 克樹,末包 昇大,1-0,top:64px; left:65px;
3,チェンジアップ,128km/h,ファウル,東 克樹,末包 昇大,1-0,top:128px; left:44px;
4,シンカー,118km/h,左安  [バットの先、打者ガッツポーズ],東 克樹,末包 昇大,1-0,top:154px; left:13px;
1,カーブ,120km/h,ボール,東 克樹,上本 崇司,1-0,top:160px; left:117px;
2,ストレート,141km/h,ファウル,東 克樹,上本 崇司,1-0,top:62px; left:30px;
3,ストレート,142km/h,ボール,東 克樹,上本 崇司,1-0,top:127px; left:16px;
4,カットボール,132km/h,ボール,東 克樹,上本 崇司,1-0,top:19px; left:83px;
5,カットボール,131km/h,見逃し,東 克樹,上本 崇司,1-0,top:101px; left:79px;
6,ストレート,141km/h,ファウル,東 克樹,上本 崇司,1-0,top:102px; left:100px;
7,ストレート,142km/h,四球,東 克樹,上本 崇司,1-0,top:160px; left:60px;
1,チェンジアップ,126km/h,空振り,東 克樹,大瀬良 大地,2-0,top:120px; left:40px;
2,チェンジアップ,127km/h,左安,東 克樹,大瀬良 大地,2-0,top:89px; left:50px;
1,ストレート,143km/h,ファウル,東 克樹,西川 龍馬,3-0,top:124px; left:73px;
2,ストレート,141km/h,ファウル,東 克樹,西川 龍馬,3-0,top:100px; left:67px;
3,ストレート,141km/h,左犠飛,東 克樹,西川 龍馬,3-0,top:91px; left:34px;
1,カットボール,133km/h,見逃し,東 克樹,菊池 涼介,3-0,top:62px; left:95px;
2,ストレート,141km/h,ボール,東 克樹,菊池 涼介,3-0,top:54px; left:124px;
3,カットボール,135km/h,ファウル,東 克樹,菊池 涼介,3-0,top:58px; left:78px;
4,ストレート,142km/h,右飛,東 克樹,菊池 涼介,3-0,top:23px; left:68px;
1,スライダー,126km/h,見逃し,大瀬良 大地,宮﨑 敏郎,3-0,top:64px; left:76px;
2,チェンジアップ,132km/h,ボール,大瀬良 大地,宮﨑 敏郎,3-0,top:158px; left:11px;
3,カットボール,140km/h,ボール,大瀬良 大地,宮﨑 敏郎,3-0,top:134px; left:16px;
4,ストレート,148km/h,ボール,大瀬良 大地,宮﨑 敏郎,3-0,top:100px; left:124px;
5,ストレート,148km/h,右飛,大瀬良 大地,宮﨑 敏郎,3-0,top:80px; left:92px;
1,カーブ,114km/h,ボール,大瀬良 大地,知野 直人,3-0,top:16px; left:43px;
2,カットボール,139km/h,見逃し,大瀬良 大地,知野 直人,3-0,top:51px; left:47px;
3,ストレート,145km/h,ファウル,大瀬良 大地,知野 直人,3-0,top:54px; left:99px;
4,スライダー,129km/h,ボール  [ワンバウンド],大瀬良 大地,知野 直人,3-0,top:165px; left:16px;
5,スライダー,127km/h,空三振,大瀬良 大地,知野 直人,3-0,top:89px; left:15px;
1,ストレート,149km/h,ボール,大瀬良 大地,柴田 竜拓,3-0,top:19px; left:78px;
2,カットボール,140km/h,見逃し,大瀬良 大地,柴田 竜拓,3-0,top:122px; left:68px;
3,フォーク,136km/h,ボール  [ワンバウンド],大瀬良 大地,柴田 竜拓,3-0,top:173px; left:30px;
4,カットボール,139km/h,見逃し,大瀬良 大地,柴田 竜拓,3-0,top:121px; left:28px;
5,ストレート,147km/h,ボール,大瀬良 大地,柴田 竜拓,3-0,top:58px; left:18px;
6,カットボール,140km/h,ファウル,大瀬良 大地,柴田 竜拓,3-0,top:88px; left:109px;
7,カットボール,140km/h,ファウル,大瀬良 大地,柴田 竜拓,3-0,top:101px; left:68px;
8,ストレート,148km/h,中飛,大瀬良 大地,柴田 竜拓,3-0,top:91px; left:72px;
1,ストレート,139km/h,ファウル,東 克樹,小園 海斗,3-0,top:56px; left:60px;
2,ストレート,139km/h,ファウル,東 克樹,小園 海斗,3-0,top:78px; left:92px;
3,チェンジアップ,129km/h,ファウル,東 克樹,小園 海斗,3-0,top:84px; left:102px;
4,カットボール,133km/h,ボール,東 克樹,小園 海斗,3-0,top:164px; left:120px;
5,カットボール,134km/h,ファウル,東 克樹,小園 海斗,3-0,top:154px; left:122px;
6,ストレート,140km/h,空三振,東 克樹,小園 海斗,3-0,top:18px; left:19px;
1,ストレート,140km/h,ボール,東 克樹,松山 竜平,3-0,top:23px; left:29px;
2,カーブ,120km/h,見逃し,東 克樹,松山 竜平,3-0,top:104px; left:88px;
3,カーブ,121km/h,右安,東 克樹,松山 竜平,3-0,top:92px; left:104px;
1,ストレート,141km/h,ボール,東 克樹,坂倉 将吾,3-0,top:24px; left:120px;
2,ストレート,141km/h,見逃し,東 克樹,坂倉 将吾,3-0,top:90px; left:108px;
3,カットボール,133km/h,中飛,東 克樹,坂倉 将吾,3-0,top:118px; left:96px;
1,カットボール,131km/h,ファウル,東 克樹,會澤 翼,3-0,top:126px; left:82px;
2,シンカー,119km/h,空振り,東 克樹,會澤 翼,3-0,top:138px; left:38px;
3,ストレート,143km/h,ボール,東 克樹,會澤 翼,3-0,top:114px; left:12px;
4,ストレート,142km/h,右飛,東 克樹,會澤 翼,3-0,top:93px; left:58px;
1,カットボール,140km/h,ボール,大瀬良 大地,戸柱 恭孝,3-0,top:156px; left:68px;
2,カットボール,140km/h,右飛  [フェンスギリギリ、ジャンピングキャッチ],大瀬良 大地,戸柱 恭孝,3-0,top:86px; left:72px;
1,ストレート,144km/h,ボール,大瀬良 大地,東 克樹,3-0,top:84px; left:16px;
2,ストレート,145km/h,見逃し,大瀬良 大地,東 克樹,3-0,top:128px; left:44px;
3,フォーク,136km/h,空振り,大瀬良 大地,東 克樹,3-0,top:141px; left:120px;
4,カットボール,139km/h,ファウル,大瀬良 大地,東 克樹,3-0,top:136px; left:104px;
5,ストレート,147km/h,三ゴロ,大瀬良 大地,東 克樹,3-0,top:94px; left:117px;
1,カーブ,116km/h,見逃し,大瀬良 大地,桑原 将志,3-0,top:54px; left:89px;
2,フォーク,134km/h,ファウル  [自打球],大瀬良 大地,桑原 将志,3-0,top:120px; left:89px;
3,スライダー,127km/h,二飛,大瀬良 大地,桑原 将志,3-0,top:159px; left:13px;
1,チェンジアップ,125km/h,ファウル,東 克樹,末包 昇大,3-0,top:42px; left:57px;
2,カットボール,132km/h,左２  [フェンス直撃],東 克樹,末包 昇大,3-0,top:62px; left:94px;
1,ストレート,140km/h,ファウル,東 克樹,上本 崇司,3-0,top:93px; left:47px;
2,カットボール,132km/h,ボール,東 克樹,上本 崇司,3-0,top:23px; left:89px;
3,ストレート,140km/h,ファウル,東 克樹,上本 崇司,3-0,top:124px; left:39px;
4,ストレート,139km/h,二ゴロ,東 克樹,上本 崇司,3-0,top:68px; left:38px;
1,ストレート,143km/h,見逃し,東 克樹,大瀬良 大地,3-0,top:65px; left:56px;
2,ストレート,140km/h,見逃し,東 克樹,大瀬良 大地,3-0,top:60px; left:109px;
3,チェンジアップ,129km/h,投ゴロ  [挟まれる],東 克樹,大瀬良 大地,3-0,top:126px; left:40px;
1,カットボール,133km/h,ボール,東 克樹,西川 龍馬,3-0,top:141px; left:120px;
2,ストレート,142km/h,見逃し,東 克樹,西川 龍馬,3-0,top:131px; left:64px;
3,ストレート,144km/h,見逃し,東 克樹,西川 龍馬,3-0,top:126px; left:109px;
4,ストレート,142km/h,ファウル,東 克樹,西川 龍馬,3-0,top:112px; left:42px;
5,カットボール,130km/h,二安  [逆シングル],東 克樹,西川 龍馬,3-0,top:150px; left:80px;
1,ストレート,143km/h,ボール,東 克樹,菊池 涼介,3-0,top:161px; left:16px;
2,ストレート,143km/h,三ゴロ,東 克樹,菊池 涼介,3-0,top:84px; left:32px;
1,シュート,137km/h,見逃し,大瀬良 大地,佐野 恵太,3-0,top:90px; left:108px;
2,カットボール,137km/h,ファウル,大瀬良 大地,佐野 恵太,3-0,top:138px; left:70px;
3,ストレート,145km/h,左安,大瀬良 大地,佐野 恵太,3-0,top:93px; left:112px;
1,シュート,140km/h,ボール,大瀬良 大地,楠本 泰史,3-0,top:158px; left:16px;
2,カットボール,137km/h,中飛,大瀬良 大地,楠本 泰史,3-0,top:119px; left:47px;
1,スライダー,124km/h,ボール,大瀬良 大地,牧 秀悟,3-0,top:161px; left:103px;
2,ストレート,145km/h,ファウル,大瀬良 大地,牧 秀悟,3-0,top:52px; left:34px;
3,フォーク,135km/h,空振り,大瀬良 大地,牧 秀悟,3-0,top:113px; left:96px;
4,カットボール,137km/h,右安,大瀬良 大地,牧 秀悟,3-0,top:156px; left:28px;
1,フォーク,137km/h,ボール  [ワンバウンド、ボール見失う],大瀬良 大地,宮﨑 敏郎,3-0,top:167px; left:68px;
1,フォーク,137km/h,ボール  [ワンバウンド、ボール見失う],大瀬良 大地,宮﨑 敏郎,3-1,top:167px; left:68px;
2,スライダー,128km/h,二ゴロ,大瀬良 大地,宮﨑 敏郎,3-1,top:124px; left:34px;
1,ストレート,145km/h,ボール,大瀬良 大地,知野 直人,3-1,top:156px; left:79px;
2,スライダー,128km/h,ファウル,大瀬良 大地,知野 直人,3-1,top:64px; left:73px;
3,ストレート,145km/h,二ゴロ,大瀬良 大地,知野 直人,3-1,top:84px; left:16px;
