投球数,球種,球速,結果,投手,打者,スコア,投球コース
4,ストレート,155km/h,ボール,ゲレーロ,西川 遥輝,4-0,top:10px; left:82px;
5,ストレート,156km/h,四球,ゲレーロ,西川 遥輝,4-0,top:161px; left:77px;
1,ストレート,153km/h,見逃し,ゲレーロ,山﨑 剛,4-0,top:56px; left:62px;
1,ストレート,153km/h,見逃し,ゲレーロ,山﨑 剛,4-0,top:56px; left:62px;
2,ストレート,153km/h,見逃し,ゲレーロ,山﨑 剛,4-0,top:80px; left:108px;
3,チェンジアップ,136km/h,空三振,ゲレーロ,山﨑 剛,4-0,top:152px; left:103px;
1,ストレート,147km/h,遊ゴロ  [ボテボテ、送球がバウンド],小峯 新陸,松川 虎生,4-0,top:64px; left:40px;
1,ストレート,147km/h,ボール,小峯 新陸,エチェバリア,4-0,top:148px; left:6px;
2,ストレート,149km/h,ボール,小峯 新陸,エチェバリア,4-0,top:2px; left:94px;
3,ストレート,148km/h,ボール,小峯 新陸,エチェバリア,4-0,top:8px; left:53px;
4,ストレート,150km/h,四球,小峯 新陸,エチェバリア,4-0,top:8px; left:116px;
1,ストレート,148km/h,見逃し,小峯 新陸,髙部 瑛斗,4-0,top:65px; left:60px;
2,ストレート,150km/h,左安,小峯 新陸,髙部 瑛斗,4-0,top:79px; left:92px;
1,フォーク,135km/h,空振り  [セーフティバント、バント空振り],小峯 新陸,和田 康士朗,4-0,top:136px; left:79px;
2,フォーク,134km/h,空振り,小峯 新陸,和田 康士朗,4-0,top:99px; left:96px;
3,フォーク,139km/h,ボール  [ワンバウンド、捕手後逸阻止],小峯 新陸,和田 康士朗,4-0,top:172px; left:63px;
4,ストレート,150km/h,ボール,小峯 新陸,和田 康士朗,4-0,top:21px; left:129px;
5,フォーク,135km/h,ファウル,小峯 新陸,和田 康士朗,4-0,top:147px; left:78px;
6,ストレート,149km/h,ボール,小峯 新陸,和田 康士朗,4-0,top:8px; left:125px;
7,フォーク,140km/h,四球  [ワンバウンド],小峯 新陸,和田 康士朗,4-0,top:172px; left:68px;
1,ストレート,146km/h,空振り  [ハーフスイング],小峯 新陸,中村 奨吾,4-0,top:132px; left:44px;
2,ストレート,149km/h,一邪飛,小峯 新陸,中村 奨吾,4-0,top:105px; left:58px;
1,ストレート,149km/h,左飛,小峯 新陸,小川 龍成,4-0,top:120px; left:64px;
1,スライダー,128km/h,ボール,益田 直也,浅村 栄斗,4-0,top:94px; left:13px;
2,ストレート,143km/h,ボール,益田 直也,浅村 栄斗,4-0,top:153px; left:38px;
3,ストレート,145km/h,見逃し,益田 直也,浅村 栄斗,4-0,top:134px; left:34px;
4,ストレート,149km/h,ファウル,益田 直也,浅村 栄斗,4-0,top:112px; left:69px;
5,ストレート,148km/h,二ゴロ,益田 直也,浅村 栄斗,4-0,top:120px; left:45px;
1,シンカー,127km/h,二ゴロ,益田 直也,島内 宏明,4-0,top:108px; left:80px;
1,ストレート,142km/h,ボール,益田 直也,茂木 栄五郎,4-0,top:161px; left:49px;
2,シンカー,126km/h,見逃し,益田 直也,茂木 栄五郎,4-0,top:111px; left:27px;
3,ストレート,148km/h,ボール,益田 直也,茂木 栄五郎,4-0,top:20px; left:125px;
4,ストレート,142km/h,ファウル,益田 直也,茂木 栄五郎,4-0,top:41px; left:73px;
5,ストレート,145km/h,ファウル,益田 直也,茂木 栄五郎,4-0,top:74px; left:20px;
6,シンカー,130km/h,二ゴロ,益田 直也,茂木 栄五郎,4-0,top:126px; left:73px;
