投球数,球種,球速,結果,投手,打者,スコア,投球コース
7,ストレート,148km/h,右飛  [詰り],則本 昂大,岡 大海,0-0,top:84px; left:92px;
1,ツーシーム,139km/h,ボール,石川 歩,島内 宏明,0-0,top:79px; left:124px;
2,ツーシーム,139km/h,左安,石川 歩,島内 宏明,0-0,top:79px; left:104px;
1,ツーシーム,139km/h,見逃し,石川 歩,茂木 栄五郎,0-0,top:136px; left:69px;
2,ストレート,139km/h,ボール,石川 歩,茂木 栄五郎,0-0,top:140px; left:7px;
3,シンカー,130km/h,ボール  [ワンバウンド],石川 歩,茂木 栄五郎,0-0,top:166px; left:68px;
4,ストレート,139km/h,見逃し,石川 歩,茂木 栄五郎,0-0,top:76px; left:109px;
5,ツーシーム,141km/h,遊ゴロ  [ランニングスロー],石川 歩,茂木 栄五郎,0-0,top:52px; left:104px;
1,カーブ,106km/h,ボール,石川 歩,和田 恋,0-0,top:22px; left:117px;
2,カットボール,131km/h,見逃し,石川 歩,和田 恋,0-0,top:90px; left:36px;
3,シンカー,128km/h,ボール,石川 歩,和田 恋,0-0,top:130px; left:14px;
4,カットボール,133km/h,遊ゴロ,石川 歩,和田 恋,0-0,top:136px; left:32px;
1,シンカー,130km/h,見逃し,石川 歩,鈴木 大地,0-0,top:121px; left:90px;
2,ストレート,143km/h,二ゴロ,石川 歩,鈴木 大地,0-0,top:86px; left:98px;
1,カットボール,142km/h,左飛,則本 昂大,藤岡 裕大,0-0,top:112px; left:60px;
1,スライダー,130km/h,見逃し,則本 昂大,松川 虎生,0-0,top:96px; left:30px;
2,ストレート,142km/h,ボール,則本 昂大,松川 虎生,0-0,top:161px; left:19px;
3,スライダー,130km/h,二ゴロ,則本 昂大,松川 虎生,0-0,top:49px; left:52px;
1,ストレート,147km/h,見逃し,則本 昂大,平沢 大河,0-0,top:100px; left:108px;
2,フォーク,138km/h,左飛,則本 昂大,平沢 大河,0-0,top:151px; left:72px;
1,ツーシーム,139km/h,ファウル,石川 歩,安田 悠馬,0-0,top:74px; left:70px;
2,カーブ,108km/h,ボール,石川 歩,安田 悠馬,0-0,top:165px; left:20px;
3,シンカー,127km/h,空振り,石川 歩,安田 悠馬,0-0,top:152px; left:64px;
4,シンカー,130km/h,空三振,石川 歩,安田 悠馬,0-0,top:166px; left:62px;
1,カーブ,106km/h,ボール,石川 歩,小深田 大翔,0-0,top:16px; left:120px;
2,ツーシーム,138km/h,ファウル,石川 歩,小深田 大翔,0-0,top:119px; left:64px;
3,ツーシーム,140km/h,ボール,石川 歩,小深田 大翔,0-0,top:38px; left:124px;
4,ツーシーム,139km/h,ファウル,石川 歩,小深田 大翔,0-0,top:108px; left:72px;
5,ストレート,140km/h,ファウル,石川 歩,小深田 大翔,0-0,top:25px; left:84px;
6,カーブ,110km/h,ファウル,石川 歩,小深田 大翔,0-0,top:133px; left:44px;
7,シンカー,130km/h,空三振,石川 歩,小深田 大翔,0-0,top:140px; left:103px;
1,ツーシーム,139km/h,空振り,石川 歩,西川 遥輝,0-0,top:94px; left:107px;
2,カーブ,109km/h,ファウル,石川 歩,西川 遥輝,0-0,top:50px; left:32px;
3,ストレート,143km/h,ボール,石川 歩,西川 遥輝,0-0,top:16px; left:119px;
4,シンカー,131km/h,二ゴロ,石川 歩,西川 遥輝,0-0,top:151px; left:70px;
